gene_id	pfam_ids	go_ids	bin_id
gene-BD560DRAFT_429843	PF07690.22	GO:0022857,GO:0055085	6
gene-BD560DRAFT_319583	PF01655.24	GO:0003735,GO:0005840,GO:0006412	4
gene-BD560DRAFT_379762	PF00566.26,PF23436.2	NA	100
gene-BD560DRAFT_451962	PF05997.18	GO:0006364,GO:0030688	8
gene-BD560DRAFT_57		NA	100
gene-BD560DRAFT_379766	PF09784.15	NA	100
gene-BD560DRAFT_379768		NA	100
gene-BD560DRAFT_379770		NA	100
gene-BD560DRAFT_480739	PF00350.30,PF01031.26,PF02212.24	GO:0003924,GO:0005525	8
gene-BD560DRAFT_343421	PF00342.25	GO:0004347,GO:0006094,GO:0006096	8
gene-BD560DRAFT_379775	PF00018.35,PF03114.24,PF07653.24,PF14604.13	GO:0005515,GO:0005737	100
gene-BD560DRAFT_379781		NA	100
gene-BD560DRAFT_162		NA	100
gene-BD560DRAFT_185	PF00646.39,PF12937.13	GO:0005515	100
gene-BD560DRAFT_379787	PF00787.30,PF09325.16	GO:0035091	100
gene-BD560DRAFT_379792	PF01699.30,PF01699.30	GO:0016020,GO:0055085	6
gene-BD560DRAFT_259		NA	100
gene-BD560DRAFT_379795	PF00106.32,PF08659.17,PF13561.13,PF23441.1	NA	100
gene-BD560DRAFT_419191		NA	100
gene-BD560DRAFT_429860		NA	100
gene-BD560DRAFT_442639	PF18758.8	NA	100
gene-BD560DRAFT_319577	PF00782.26	GO:0016311	8
gene-BD560DRAFT_379806	PF07690.22	GO:0022857,GO:0055085	6
gene-BD560DRAFT_379810	PF00120.30	GO:0004356	8
gene-BD560DRAFT_379812	PF09270.17,PF09271.17	GO:0000978,GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0006357	3
gene-BD560DRAFT_319417	PF00651.38,PF24681.2,PF24981.2	GO:0005515	100
gene-BD560DRAFT_451975	PF02515.23	GO:0003824	8
gene-BD560DRAFT_419200	PF04969.23	NA	100
gene-BD560DRAFT_379817	PF04437.20	GO:0006890,GO:0070939	6
gene-BD560DRAFT_343451	PF08314.18	GO:0006890	6
gene-BD560DRAFT_419203	PF03788.20,PF04172.22,PF04172.22	GO:0016020	100
gene-BD560DRAFT_442649		NA	100
gene-BD560DRAFT_379825	PF00227.32,PF10584.15	GO:0005839,GO:0006511,GO:0019773,GO:0030163	8
gene-BD560DRAFT_379829	PF01940.22	GO:0016020	100
gene-BD560DRAFT_442652	PF00385.31,PF01393.27	GO:0005634	100
gene-BD560DRAFT_379834		NA	100
gene-BD560DRAFT_480754		NA	100
gene-BD560DRAFT_429880	PF00076.29,PF00076.29,PF00806.26,PF00806.26	GO:0003723	4
gene-BD560DRAFT_419210	PF16093.11	GO:0043248	100
gene-BD560DRAFT_480756	PF01248.32	NA	100
gene-BD560DRAFT_442657	PF25372.2	NA	100
gene-BD560DRAFT_379844	PF00348.23	GO:0004659,GO:0008299	8
gene-BD560DRAFT_379849		NA	100
gene-BD560DRAFT_442660		NA	100
gene-BD560DRAFT_319599	PF03649.19	NA	100
gene-BD560DRAFT_419217		NA	100
gene-BD560DRAFT_912	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	GO:0005515	100
gene-BD560DRAFT_419219		NA	100
gene-BD560DRAFT_319536	PF00181.31,PF03947.25	GO:0003735,GO:0005840,GO:0006412	4
gene-BD560DRAFT_485686		NA	100
gene-BD560DRAFT_379893		NA	100
gene-BD560DRAFT_361756	PF24681.2,PF24981.2	NA	100
gene-BD560DRAFT_379897	PF00018.35,PF00018.35,PF00787.30,PF07653.24,PF14604.13	GO:0005515,GO:0035091	100
gene-BD560DRAFT_379901	PF02115.24	GO:0005094,GO:0005515,GO:0005737,GO:0007266	3
gene-BD560DRAFT_319905		NA	100
gene-BD560DRAFT_442671		NA	100
gene-BD560DRAFT_319874		NA	100
gene-BD560DRAFT_379914	PF00750.26,PF05746.22	GO:0004814,GO:0005524,GO:0006420	8
gene-BD560DRAFT_442675	PF00493.30,PF07728.21,PF14551.12,PF17207.10,PF17855.8,PF21933.3	GO:0003677,GO:0005524,GO:0016887	4
gene-BD560DRAFT_379917	PF00179.32	NA	100
gene-BD560DRAFT_429903		NA	100
gene-BD560DRAFT_419233	PF04133.20	NA	100
gene-BD560DRAFT_379926	PF04622.19	NA	100
gene-BD560DRAFT_1232	PF02815.26	NA	100
gene-BD560DRAFT_379934	PF02544.22,PF21696.4	GO:0006629,GO:0016627	8
gene-BD560DRAFT_379937	PF00076.29	GO:0003723	4
gene-BD560DRAFT_379938	PF30833.1	NA	100
