protein_id	length
GML000001_mRNA1	190
GML000101_mRNA1	1215
GML000201_mRNA1	334
GML000301_mRNA1	400
GML000401_mRNA1	94
GML000501_mRNA1	86
GML000601_mRNA1	166
GML000701_mRNA1	569
GML000801_mRNA1	546
GML000901_mRNA1	332
GML001001_mRNA1	101
GML001101_mRNA1	117
GML001201_mRNA1	23
GML001301_mRNA1	801
GML001401_mRNA1	681
GML001501_mRNA1	846
GML001601_mRNA1	1166
GML001701_mRNA1	384
GML001801_mRNA1	516
GML001901_mRNA1	108
GML002001_mRNA1	50
GML002101_mRNA1	109
GML002201_mRNA1	415
GML002301_mRNA1	571
GML002401_mRNA1	714
GML002501_mRNA1	155
GML002601_mRNA1	347
GML002701_mRNA1	701
GML002801_mRNA1	214
GML002901_mRNA1	340
GML003001_mRNA1	146
GML003101_mRNA1	413
GML003201_mRNA1	180
GML003301_mRNA1	345
GML003401_mRNA1	1643
GML003501_mRNA1	33
GML003601_mRNA1	271
GML003701_mRNA1	291
GML003801_mRNA1	1003
GML003901_mRNA1	311
GML004001_mRNA1	378
GML004101_mRNA1	478
GML004201_mRNA1	200
GML004301_mRNA1	2214
GML004401_mRNA1	320
GML004501_mRNA1	128
GML004601_mRNA1	654
GML004701_mRNA1	199
GML004801_mRNA1	1440
GML004901_mRNA1	130
GML005001_mRNA1	183
GML005101_mRNA1	359
GML005201_mRNA1	255
GML005301_mRNA1	65
GML005401_mRNA1	479
GML005501_mRNA1	623
GML005601_mRNA1	541
GML005701_mRNA1	662
GML005801_mRNA1	578
GML005901_mRNA1	188
GML006001_mRNA1	513
GML006101_mRNA1	86
GML006201_mRNA1	438
GML006301_mRNA1	193
GML006401_mRNA1	471
GML006501_mRNA1	178
GML006601_mRNA1	531
GML006701_mRNA1	251
GML006801_mRNA1	409
GML006901_mRNA1	478
GML007001_mRNA1	1077
GML007101_mRNA1	113
GML007201_mRNA1	372
GML007301_mRNA1	215
GML007401_mRNA1	712
