gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00324.28,PF00324.28,PF00324.28,PF13520.13,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000002	PF00883.27,PF00883.27,PF00883.27	GO:0006508,GO:0046872,GO:0070006	5
GML000003		NA	100
GML000004	PF00505.26,PF00505.26,PF00505.26,PF00505.26,PF09011.17,PF09011.17	NA	100
GML000005	PF14518.12,PF14518.12,PF14518.12,PF14518.12	NA	100
GML000006	PF00089.33	GO:0004252,GO:0006508	5
GML000007	PF03473.24,PF03473.24,PF03476.22	GO:0003824,GO:0030151,GO:0030170	8
GML000008	PF00378.26,PF16113.11	NA	100
GML000009	PF01204.25,PF01204.25,PF07492.17,PF22422.3	GO:0004555,GO:0005509,GO:0005737,GO:0005991,GO:0005993	8
GML000010	PF00109.33	NA	100
GML000011	PF00109.33,PF00109.33,PF02801.29,PF02801.29	NA	100
GML000012	PF04884.21,PF04884.21,PF24160.2,PF24160.2	NA	100
GML000013	PF00612.34,PF28463.1,PF28678.1	GO:0005515	100
GML000014		NA	100
GML000015	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF12894.14,PF12894.14,PF12894.14,PF12894.14	GO:0005515	100
GML000016		NA	100
GML000017	PF12519.15,PF12519.15,PF12519.15,PF12519.15,PF12519.15,PF12519.15,PF12519.15,PF12519.15	GO:0007005,GO:0032865	100
GML000018	PF00520.38,PF08016.19	GO:0005216,GO:0006811,GO:0016020,GO:0055085	6
GML000019	PF06733.22,PF13307.13,PF23109.2	GO:0003676,GO:0003677,GO:0003678,GO:0004386,GO:0005524,GO:0006139,GO:0016818	4
GML000020		NA	100
GML000021		NA	100
GML000022	PF00023.37	GO:0005515	100
GML000023		NA	100
GML000024	PF13328.13,PF13328.13	NA	100
GML000025	PF13328.13,PF13328.13	NA	100
GML000026	PF13328.13	NA	100
GML000027	PF06565.19,PF06565.19,PF06565.19	NA	100
GML000028		NA	100
GML000029		NA	100
GML000030		NA	100
GML000031		NA	100
GML000032		NA	100
