gene_id	pfam_ids	go_ids	bin_id
gene-HYDPIDRAFT_163989		NA	100
gene-HYDPIDRAFT_22848	PF20149.5	NA	100
gene-HYDPIDRAFT_104261	PF00782.26,PF00782.26	GO:0016311	8
gene-HYDPIDRAFT_104265		NA	100
gene-HYDPIDRAFT_171707	PF00168.37,PF00387.26,PF00388.26	GO:0004435,GO:0006629,GO:0007165,GO:0035556	3
gene-HYDPIDRAFT_60017	PF01253.28,PF21023.3	GO:0003743,GO:0006413	8
gene-HYDPIDRAFT_22853		NA	100
gene-HYDPIDRAFT_62411	PF24803.2	NA	100
gene-HYDPIDRAFT_104271		NA	100
gene-HYDPIDRAFT_104272	PF19343.6,PF19343.6	NA	100
gene-HYDPIDRAFT_171710	PF00083.31,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-HYDPIDRAFT_142171	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-HYDPIDRAFT_104277	PF10058.15,PF31016.1	NA	100
gene-HYDPIDRAFT_104278		NA	100
gene-HYDPIDRAFT_78799	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-HYDPIDRAFT_104282	PF01565.29,PF08031.18	GO:0016491,GO:0050660	8
gene-HYDPIDRAFT_79349	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-HYDPIDRAFT_22861		NA	100
gene-HYDPIDRAFT_104286	PF01185.24	GO:0005199,GO:0009277	7
gene-HYDPIDRAFT_104287	PF00005.34,PF00005.34,PF12848.14	GO:0005524,GO:0016887	8
gene-HYDPIDRAFT_77279		NA	100
gene-HYDPIDRAFT_104293	PF00149.34	GO:0016787	8
gene-HYDPIDRAFT_50946		NA	100
gene-HYDPIDRAFT_53837		NA	100
gene-HYDPIDRAFT_104296	PF00687.27	NA	100
gene-HYDPIDRAFT_164005		NA	100
gene-HYDPIDRAFT_164006		NA	100
gene-HYDPIDRAFT_164007		NA	100
gene-HYDPIDRAFT_79112	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-HYDPIDRAFT_77913	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-HYDPIDRAFT_171720	PF01735.24	GO:0004620,GO:0009395	8
gene-HYDPIDRAFT_184301		NA	100
gene-HYDPIDRAFT_t8		NA	100
gene-HYDPIDRAFT_104306		NA	100
gene-HYDPIDRAFT_104308		NA	100
gene-HYDPIDRAFT_104313	PF00928.27	NA	100
gene-HYDPIDRAFT_104316		NA	100
gene-HYDPIDRAFT_78983		NA	100
gene-HYDPIDRAFT_104317		NA	100
gene-HYDPIDRAFT_35184		NA	100
gene-HYDPIDRAFT_22878		NA	100
gene-HYDPIDRAFT_184303	PF11443.14,PF24674.1,PF25043.1	NA	100
gene-HYDPIDRAFT_104323	PF00293.35	NA	100
gene-HYDPIDRAFT_35189	PF00063.28,PF00063.28,PF00173.34,PF01644.24,PF03142.22,PF08766.17,PF13632.13,PF13641.13	GO:0003774,GO:0005524,GO:0016459	100
gene-HYDPIDRAFT_120671	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF04053.21,PF23381.2,PF23953.2	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030117	6
gene-HYDPIDRAFT_22884		NA	100
gene-HYDPIDRAFT_78181	PF11443.14,PF25043.1	NA	100
gene-HYDPIDRAFT_77157	PF00328.28	NA	100
gene-HYDPIDRAFT_78145	PF00328.28	NA	100
gene-HYDPIDRAFT_35196	PF00328.28	NA	100
gene-HYDPIDRAFT_104335		NA	100
gene-HYDPIDRAFT_22891	PF00657.29,PF13472.13	GO:0016788	8
gene-HYDPIDRAFT_78156	PF19271.5	NA	100
gene-HYDPIDRAFT_120694	PF19271.5	NA	100
gene-HYDPIDRAFT_22894	PF00328.28	NA	100
gene-HYDPIDRAFT_77723	PF00249.38,PF13921.13	NA	100
gene-HYDPIDRAFT_120700		NA	100
gene-HYDPIDRAFT_164024	PF00561.27,PF08386.17,PF12146.16,PF12697.14	NA	100
