protein_id	length
rna-XM_033831773.1	751
rna-XM_033827404.1	883
rna-XM_033834786.1	184
rna-XM_033836376.1	603
rna-XM_033825400.1	288
rna-XM_033826356.1	792
rna-XM_033827515.1	269
rna-XM_033827532.1	243
rna-XM_033824577.1	176
rna-XM_033823084.1	138
rna-XM_033822708.1	292
rna-XM_033821143.1	721
rna-XM_033821439.1	191
rna-XM_033827649.1	376
rna-XM_033821933.1	186
rna-XM_033822196.1	188
rna-XM_033824619.1	215
rna-XM_033822966.1	378
rna-XM_033827729.1	360
rna-XM_033831841.1	162
rna-XM_033826449.1	260
rna-XM_033819738.1	200
rna-XM_033832652.1	440
rna-XM_033819787.1	451
rna-XM_033826487.1	252
rna-XM_033832685.1	177
rna-XM_033835169.1	547
rna-XM_033819910.1	417
rna-XM_033825536.1	172
rna-XM_033819967.1	202
rna-XM_033827941.1	661
rna-XM_033820011.1	1355
rna-XM_033823175.1	646
rna-XM_033830831.1	498
rna-XM_033820628.1	218
rna-XM_033832782.1	408
rna-XM_033835251.1	148
rna-XM_033820695.1	356
rna-XM_033828102.1	89
rna-XM_033820742.1	239
rna-XM_033828152.1	138
rna-XM_033835270.1	280
rna-XM_033832847.1	726
rna-XM_033828225.1	151
rna-XM_033820850.1	107
rna-XM_033820880.1	529
rna-XM_033823324.1	583
rna-XM_033828306.1	147
rna-XM_033821011.1	580
rna-XM_033828343.1	153
rna-XM_033824775.1	510
rna-XM_033823405.1	666
rna-XM_033823476.1	175
rna-XM_033828430.1	90
rna-XM_033828443.1	357
rna-XM_033823455.1	565
rna-XM_033834780.1	344
rna-XM_033825699.1	1268
rna-XM_033828522.1	661
rna-XM_033825712.1	276
rna-XM_033828569.1	101
rna-XM_033821347.1	177
rna-XM_033828603.1	343
rna-XM_033821389.1	568
rna-XM_033826704.1	422
rna-XM_033821444.1	144
rna-XM_033821473.1	465
rna-XM_033835453.1	734
rna-XM_033828720.1	243
rna-XM_033821539.1	139
rna-XM_033821566.1	536
rna-XM_033834859.1	418
rna-XM_033822690.1	491
rna-XM_033832041.1	209
rna-XM_033833221.1	207
rna-XM_033821702.1	150
rna-XM_033822926.1	114
rna-XM_033832055.1	399
rna-XM_033822656.1	289
rna-XM_033821808.1	301
rna-XM_033825828.1	356
rna-XM_033821869.1	156
rna-XM_033825837.1	113
rna-XM_033824931.1	584
rna-XM_033823742.1	212
rna-XM_033829032.1	255
rna-XM_033835576.1	339
rna-XM_033829069.1	410
rna-XM_033822027.1	167
rna-XM_033822650.1	77
rna-XM_033822095.1	545
rna-XM_033822677.1	226
rna-XM_033831572.1	285
rna-XM_033823765.1	611
rna-XM_033829209.1	68
rna-XM_033822221.1	598
rna-XM_033829247.1	472
rna-XM_033829257.1	461
rna-XM_033834979.1	254
rna-XM_033826915.1	1157
rna-XM_033825008.1	140
rna-XM_033829323.1	79
rna-XM_033822424.1	271
rna-XM_033829351.1	299
rna-XM_033835014.1	979
rna-XM_033824575.1	152
rna-XM_033831606.1	250
rna-XM_033825959.1	531
rna-XM_033833605.1	941
rna-XM_033831143.1	300
rna-XM_033829489.1	282
rna-XM_033829512.1	293
rna-XM_033829525.1	215
rna-XM_033833661.1	880
rna-XM_033827021.1	310
rna-XM_033823938.1	523
rna-XM_033833691.1	186
rna-XM_033836179.1	355
rna-XM_033829642.1	843
rna-XM_033833736.1	426
rna-XM_033825090.1	300
rna-XM_033832211.1	498
rna-XM_033835806.1	395
rna-XM_033831139.1	459
rna-XM_033836342.1	160
rna-XM_033824095.1	154
rna-XM_033836396.1	151
rna-XM_033832240.1	720
rna-XM_033836443.1	212
rna-XM_033836474.1	265
rna-XM_033827123.1	1003
rna-XM_033829890.1	252
rna-XM_033827133.1	418
rna-XM_033825167.1	455
rna-XM_033833891.1	220
rna-XM_033819322.1	487
rna-XM_033832269.1	414
rna-XM_033824165.1	203
rna-XM_033819397.1	470
rna-XM_033833938.1	671
rna-XM_033833953.1	83
rna-XM_033819463.1	107
rna-XM_033835929.1	256
rna-XM_033819500.1	581
rna-XM_033819534.1	173
rna-XM_033834008.1	277
rna-XM_033834023.1	67
rna-XM_033830215.1	351
rna-XM_033834052.1	126
rna-XM_033832319.1	1183
rna-XM_033824319.1	1083
rna-XM_033834089.1	592
rna-XM_033830306.1	164
rna-XM_033832335.1	237
rna-XM_033825274.1	298
rna-XM_033820215.1	265
rna-XM_033834136.1	338
rna-XM_033834149.1	131
rna-XM_033822621.1	191
rna-XM_033830419.1	367
rna-XM_033820331.1	83
rna-XM_033831275.1	249
rna-XM_033820383.1	429
rna-XM_033827322.1	358
rna-XM_033824453.1	540
rna-XM_033834230.1	206
rna-XM_033832389.1	695
rna-XM_033824469.1	253
rna-XM_033820560.1	140
rna-XM_033834251.1	135
rna-XM_033820610.1	177
rna-XM_033831316.1	278
rna-XM_033822937.1	129
