gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-DRES_LOCUS1	rna-DRES_LOCUS1	PF13813.12	Complete	None
gene-DRES_LOCUS2	rna-DRES_LOCUS2		None	None
gene-DRES_LOCUS3	rna-DRES_LOCUS3		None	None
gene-DRES_LOCUS4	rna-DRES_LOCUS4	PF00097.32,PF04757.20,PF13445.13,PF13639.13,PF13920.13,PF13923.13	Complete	None
gene-DRES_LOCUS5	rna-DRES_LOCUS5		None	None
gene-DRES_LOCUS6	rna-DRES_LOCUS6		None	None
gene-DRES_LOCUS7	rna-DRES_LOCUS7		None	None
gene-DRES_LOCUS1113	gene-DRES_LOCUS1113	PF11754.15	Partial	None
gene-DRES_LOCUS1113_1	gene-DRES_LOCUS1113_1		None	None
gene-DRES_LOCUS8	rna-DRES_LOCUS8		None	None
gene-DRES_LOCUS9	rna-DRES_LOCUS9		None	None
gene-DRES_LOCUS10	rna-DRES_LOCUS10		None	None
gene-DRES_LOCUS11	rna-DRES_LOCUS11		None	None
gene-DRES_LOCUS12	rna-DRES_LOCUS12		None	None
gene-DRES_LOCUS13	rna-DRES_LOCUS13	PF01422.23,PF01422.23,PF01422.23,PF01422.23,PF01422.23,PF01424.29	Complete	None
gene-DRES_LOCUS14	rna-DRES_LOCUS14		None	None
gene-DRES_LOCUS15	rna-DRES_LOCUS15		None	None
gene-DRES_LOCUS16	rna-DRES_LOCUS16		None	None
gene-DRES_LOCUS17	rna-DRES_LOCUS17		None	None
gene-DRES_LOCUS18	rna-DRES_LOCUS18		None	None
gene-DRES_LOCUS19	rna-DRES_LOCUS19		None	None
gene-DRES_LOCUS20	rna-DRES_LOCUS20		None	None
gene-DRES_LOCUS21	rna-DRES_LOCUS21		None	None
gene-DRES_LOCUS22	rna-DRES_LOCUS22		None	None
gene-DRES_LOCUS1114	gene-DRES_LOCUS1114	PF00266.26	Partial	None
gene-DRES_LOCUS23	rna-DRES_LOCUS23		None	None
gene-DRES_LOCUS24	rna-DRES_LOCUS24		None	None
gene-DRES_LOCUS1115	gene-DRES_LOCUS1115		None	None
gene-DRES_LOCUS25	rna-DRES_LOCUS25		None	None
gene-DRES_LOCUS26	rna-DRES_LOCUS26		None	None
gene-DRES_LOCUS27	rna-DRES_LOCUS27		None	None
gene-DRES_LOCUS28	rna-DRES_LOCUS28		None	None
gene-DRES_LOCUS29	rna-DRES_LOCUS29		None	None
gene-DRES_LOCUS30	rna-DRES_LOCUS30		None	None
gene-DRES_LOCUS31	rna-DRES_LOCUS31	PF00179.32	Partial	None
