gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-SCHCODRAFT_02603886	rna-XM_050344063.1		None	None
gene-SCHCODRAFT_01037802	rna-XM_003035489.2		None	None
gene-SCHCODRAFT_02476849	rna-XM_050342747.1		None	None
gene-SCHCODRAFT_02603891	rna-XM_003035488.2	PF08662.18,PF31025.1	Complete	None
gene-SCHCODRAFT_02559062	rna-XM_003035487.3	PF01753.25	Complete	None
gene-SCHCODRAFT_02603898	rna-XM_003035486.2	PF00494.25	Partial	None
gene-SCHCODRAFT_01120444	rna-XM_003036312.2		None	None
gene-SCHCODRAFT_02603907	rna-XM_003036311.3		None	None
gene-SCHCODRAFT_02660682	rna-XM_003035485.2		None	None
gene-SCHCODRAFT_02603914	rna-XM_003036310.2	PF08208.17	Partial	None
gene-SCHCODRAFT_02660684	rna-XM_003035484.1		None	None
gene-SCHCODRAFT_02000226	rna-XM_050341497.1		None	None
gene-SCHCODRAFT_01120432	rna-XM_003036308.3	PF01753.25	Complete	None
gene-SCHCODRAFT_02475466	rna-XM_050342736.1		None	None
gene-SCHCODRAFT_02603922	rna-XM_050344064.1		None	None
gene-SCHCODRAFT_02603924	rna-XM_050344065.1	PF01769.22,PF01769.22	Complete	None
gene-SCHCODRAFT_02603925	rna-XM_050344066.1		None	None
gene-SCHCODRAFT_02000336	rna-XM_050341498.1		None	None
gene-SCHCODRAFT_02603927	rna-XM_050344067.1		None	None
gene-SCHCODRAFT_01187771	rna-XM_003035481.2		None	None
gene-SCHCODRAFT_02694406	rna-XM_003035480.3		None	None
gene-SCHCODRAFT_02000401	rna-XM_050341499.1		None	None
gene-SCHCODRAFT_02559108	rna-XM_050343745.1		None	None
gene-SCHCODRAFT_01347275	rna-XM_050341481.1	PF13359.13	Partial	None
gene-SCHCODRAFT_01084475	rna-XM_050340992.1	PF13359.13	Partial	None
gene-SCHCODRAFT_02603938	rna-XM_050344068.1	PF07047.18	Partial	None
gene-SCHCODRAFT_02603939	rna-XM_050344069.1		None	None
gene-SCHCODRAFT_02522375	rna-XM_050343494.1		None	None
gene-SCHCODRAFT_02660696	rna-XM_050346487.1		None	None
gene-SCHCODRAFT_02522377	rna-XM_003036306.3		None	None
gene-SCHCODRAFT_02603945	rna-XM_050344070.1		None	None
gene-SCHCODRAFT_01347266	rna-XM_050341480.1		None	None
gene-SCHCODRAFT_02603947	rna-XM_050344071.1		None	None
gene-SCHCODRAFT_02000522	rna-XM_050341500.1		None	None
gene-SCHCODRAFT_02707488	rna-XM_003036305.3	PF29850.1,PF29852.1	Complete	None
gene-SCHCODRAFT_02742177	rna-XM_050347165.1		None	None
gene-SCHCODRAFT_02603954	rna-XM_050344072.1		None	None
gene-SCHCODRAFT_02559126	rna-XM_003036303.3		None	None
gene-SCHCODRAFT_02462607	rna-XM_050342626.1		None	None
gene-SCHCODRAFT_02482306	rna-XM_003036302.2		None	None
gene-SCHCODRAFT_02603965	rna-XM_050344073.1	PF00018.35,PF00018.35,PF00621.26,PF02205.27,PF07653.24,PF12763.14,PF14604.13	Complete	None
gene-SCHCODRAFT_02603968	rna-XM_050344074.1		None	None
gene-SCHCODRAFT_02603970	rna-XM_003035477.2	PF00046.36	Complete	None
gene-SCHCODRAFT_02603973	rna-XM_003035476.2	PF24016.2	Partial	None
gene-SCHCODRAFT_02603975	rna-XM_050344075.1	PF18564.8	Complete	None
gene-SCHCODRAFT_02603976	rna-XM_050344076.1		None	None
gene-SCHCODRAFT_02603981	rna-XM_003035474.3	PF24016.2	Partial	None
gene-SCHCODRAFT_02603985	rna-XM_003036300.2		None	None
