gene_id	pfam_ids	go_ids	bin_id
GML000001		NA	100
GML000002	PF00023.37,PF00023.37,PF00023.37,PF00069.32,PF07714.24,PF12796.14,PF12796.14,PF12796.14,PF13606.13,PF13606.13,PF13637.13,PF13637.13	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
GML000003		NA	100
GML000004		NA	100
GML000005		NA	100
GML000006	PF07162.18,PF07162.18,PF07162.18,PF12812.14,PF12812.14,PF12812.14,PF12812.14,PF12812.14,PF12812.14,PF13180.13,PF13180.13,PF13180.13,PF13365.13,PF13365.13,PF13365.13,PF17820.8,PF17820.8,PF17820.8	GO:0005515	100
GML000007	PF00320.34,PF00320.34,PF00439.31,PF00439.31,PF10453.15,PF10453.15,PF17035.11,PF17035.11	GO:0005515,GO:0006355,GO:0043565	4
GML000008		NA	100
GML000009		NA	100
GML000010		NA	100
GML000011	PF05064.19,PF05064.19	NA	100
GML000012	PF00443.36,PF07958.17,PF07958.17,PF13423.13	GO:0004843,GO:0016579	8
GML000013	PF00443.36,PF13423.13	GO:0004843,GO:0016579	8
GML000014		NA	100
GML000015	PF05193.27,PF05193.27,PF08367.17,PF22516.2	GO:0006508	5
GML000016	PF08618.16,PF08618.16,PF08618.16,PF08618.16,PF08618.16	GO:0003714	100
GML000017		NA	100
GML000018	PF00459.31	NA	100
GML000019	PF04925.21,PF04925.21,PF04925.21,PF21413.4,PF21413.4,PF21413.4	NA	100
GML000020		NA	100
GML000021	PF03081.23,PF03081.23,PF20669.4,PF20669.4	GO:0000145,GO:0005546,GO:0006887	6
GML000022	PF03081.23,PF03081.23	GO:0000145,GO:0005546,GO:0006887	6
GML000023	PF00225.30	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
GML000024	PF00225.30,PF16796.12	GO:0003777,GO:0005524,GO:0007018,GO:0008017	7
GML000025	PF00804.32,PF00804.32,PF00804.32,PF05739.27,PF05739.27,PF05739.27	GO:0016020	100
GML000026	PF00288.33	GO:0005524	100
GML000027	PF00285.27	GO:0046912	8
GML000028	PF00617.25,PF00617.25	GO:0005085,GO:0007264	3
GML000029	PF00106.32,PF00106.32,PF00106.32,PF00106.32,PF00106.32,PF01370.28,PF01370.28,PF01370.28,PF01370.28,PF01370.28,PF08659.17,PF13561.13,PF13561.13,PF13561.13,PF13561.13,PF13561.13,PF14678.13,PF14678.13,PF14678.13,PF14678.13	NA	100
GML000030	PF00649.24,PF04884.21,PF04884.21	GO:0003677,GO:0003700,GO:0005507,GO:0006355	3
GML000031		NA	100
GML000032	PF07137.18	GO:0046422	8
GML000033	PF00153.33,PF00153.33,PF00153.33	NA	100
GML000034	PF14770.12	NA	100
GML000035	PF01265.23,PF01265.23	GO:0004408,GO:0005739	8
GML000036	PF00153.33,PF00153.33,PF00153.33	NA	100
GML000037	PF04104.20,PF04104.20,PF26466.1,PF26466.1	NA	100
GML000038	PF00735.25	GO:0005525	100
GML000039		NA	100
GML000040	PF00083.31,PF00083.31,PF00083.31,PF00171.28,PF00171.28,PF00171.28,PF06779.21,PF06779.21,PF06779.21,PF07690.22,PF07690.22,PF07690.22	GO:0016020,GO:0016491,GO:0022857,GO:0055085	6
GML000041	PF00587.31,PF02403.28	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
GML000042	PF10294.16	NA	100
GML000043		NA	100
GML000044	PF00176.30,PF00176.30,PF00271.38,PF00271.38,PF12054.14,PF12054.14	GO:0005524	100
GML000045	PF00583.32,PF00583.32,PF13420.14,PF13508.14,PF13673.14,PF13673.14	GO:0016747	8
GML000046	PF03661.19	GO:0016020	100
GML000047	PF00153.33,PF00153.33,PF00153.33,PF00153.33	NA	100
GML000048		NA	100
GML000049	PF00505.26,PF09011.17	NA	100
GML000050	PF00505.26,PF09011.17	NA	100
GML000051	PF00488.28,PF00488.28,PF05190.24,PF05190.24,PF05192.24,PF05192.24	GO:0005524,GO:0006298,GO:0030983	3
GML000052		NA	100
GML000053	PF01398.27,PF19445.5	GO:0005515,GO:0008233,GO:0008237	8
GML000054		NA	100
GML000055		NA	100
GML000056		NA	100
GML000057	PF00005.34,PF00005.34,PF00533.34,PF00664.29,PF00664.29,PF12738.14,PF16589.13,PF16770.12	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000058	PF04097.21,PF04097.21	GO:0005643,GO:0017056	7
GML000059		NA	100
GML000060	PF01794.26,PF01794.26,PF08022.19,PF08030.18,PF08030.18	GO:0016491	8
GML000061		NA	100
GML000062	PF00564.31,PF00564.31,PF13174.13,PF13174.13,PF13181.13,PF13181.13,PF13181.13,PF13181.13	GO:0005515	100
GML000063	PF00027.36,PF00027.36	NA	100
GML000064	PF00027.36,PF00027.36	NA	100
GML000065	PF07247.18,PF07247.18	NA	100
GML000066	PF21237.3,PF21237.3,PF21237.3,PF21238.3,PF21238.3,PF21238.3	NA	100
GML000067	PF00027.36,PF00027.36	NA	100
GML000068	PF04098.22	NA	100
GML000069	PF00152.26,PF00152.26	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
GML000070	PF14538.12	NA	100
GML000071	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14	GO:0005515	100
GML000072	PF00400.39,PF00400.39	GO:0005515	100
GML000073	PF29326.1,PF29326.1	NA	100
GML000074		NA	100
GML000075		NA	100
GML000076		NA	100
GML000077	PF00467.36,PF00467.36,PF02732.22,PF02732.22,PF02732.22,PF02732.22,PF17136.11,PF17136.11	GO:0003677	4
GML000078		NA	100
GML000079	PF00467.36,PF17136.11	NA	100
GML000080	PF08660.18,PF08660.18	GO:0006488	8
GML000081		NA	100
GML000082	PF00412.29,PF00412.29,PF00412.29,PF00412.29,PF00412.29,PF00620.33,PF00620.33,PF08672.18,PF08672.18,PF25773.2,PF25773.2	GO:0007165	3
GML000083	PF09817.15,PF09817.15	GO:0007093,GO:1990423	3
GML000084		NA	100
GML000085		NA	100
GML000086	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000087	PF04695.19	NA	100
GML000088	PF00023.37,PF00646.39,PF12796.14,PF12796.14,PF13637.13	GO:0005515	100
GML000089		NA	100
GML000090	PF00173.34,PF00174.26,PF02181.29,PF03404.23,PF10409.16	GO:0016491,GO:0030151	8
GML000091	PF01068.27,PF14743.13	GO:0003910,GO:0005524,GO:0006281,GO:0006310	3
GML000092		NA	100
GML000093		NA	100
GML000094	PF00320.34,PF00320.34	GO:0006355,GO:0043565	4
GML000095		NA	100
GML000096		NA	100
GML000097	PF00005.34,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000098		NA	100
GML000099	PF00097.32,PF13445.13,PF13639.13,PF13923.13	GO:0046872	100
GML000100		NA	100
GML000101	PF00285.27	GO:0046912	8
GML000102	PF05625.18	GO:0002098,GO:0033588	8
GML000103	PF11919.14,PF16507.12,PF23096.2	NA	100
GML000104		NA	100
GML000105		NA	100
