gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-XANCAGTX0491_000001	rna-XANCAGTX0491_000001		None	None
gene-XANCAGTX0491_000002	rna-XANCAGTX0491_000002	PF00069.32,PF17667.8	Partial	None
gene-XANCAGTX0491_000003	rna-XANCAGTX0491_000003	PF06985.18,PF26639.1	Complete	None
gene-XANCAGTX0491_000004	rna-XANCAGTX0491_000004		None	None
gene-XANCAGTX0491_000005	rna-XANCAGTX0491_000005	PF20684.4	Partial	None
gene-XANCAGTX0491_000006	rna-XANCAGTX0491_000006	PF00067.28	Partial	None
gene-XANCAGTX0491_000007	rna-XANCAGTX0491_000007	PF00732.26,PF05199.20	Complete	None
gene-XANCAGTX0491_000008	rna-XANCAGTX0491_000008	PF01565.29	Partial	None
gene-XANCAGTX0491_000009	rna-XANCAGTX0491_000009	PF19086.6	Partial	None
gene-XANCAGTX0491_000010	rna-XANCAGTX0491_000010	PF20684.4	Partial	None
gene-XANCAGTX0491_000011	rna-XANCAGTX0491_000011	PF00106.32,PF08659.17,PF13561.13	Partial	None
gene-XANCAGTX0491_000012	rna-XANCAGTX0491_000012	PF07690.22	Partial	None
gene-XANCAGTX0491_000013	rna-XANCAGTX0491_000013		None	None
gene-XANCAGTX0491_000014	rna-XANCAGTX0491_000014		None	None
gene-XANCAGTX0491_000015	rna-XANCAGTX0491_000015	PF00067.28	Partial	None
gene-XANCAGTX0491_000016	rna-XANCAGTX0491_000016	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19	Complete	None
gene-XANCAGTX0491_000017	rna-XANCAGTX0491_000017	PF00067.28	Partial	None
gene-XANCAGTX0491_000018	rna-XANCAGTX0491_000018		None	None
gene-XANCAGTX0491_000019	rna-XANCAGTX0491_000019		None	None
gene-XANCAGTX0491_000020	rna-XANCAGTX0491_000020		None	None
gene-XANCAGTX0491_000021	rna-XANCAGTX0491_000021	PF00067.28	Partial	None
gene-XANCAGTX0491_000022	rna-XANCAGTX0491_000022	PF00083.31,PF00083.31,PF07690.22	Partial	None
gene-XANCAGTX0491_000023	rna-XANCAGTX0491_000023	PF02214.29	Partial	None
gene-XANCAGTX0491_000024	rna-XANCAGTX0491_000024		None	None
gene-XANCAGTX0491_000025	rna-XANCAGTX0491_000025	PF00012.27	Partial	None
gene-XANCAGTX0491_000026	rna-XANCAGTX0491_000026	PF00533.34,PF06732.17	Complete	None
gene-XANCAGTX0491_000027	rna-XANCAGTX0491_000027	PF06728.20	Partial	None
gene-XANCAGTX0491_000027	rna-XANCAGTX0491_000027-2	PF06728.20	Partial	None
gene-XANCAGTX0491_000028	rna-XANCAGTX0491_000028	PF00583.32,PF13508.14,PF13673.14	Partial	None
gene-XANCAGTX0491_000029	rna-XANCAGTX0491_000029		None	None
gene-XANCAGTX0491_000030	rna-XANCAGTX0491_000030	PF04095.23,PF04095.23,PF17767.8	Partial	None
gene-XANCAGTX0491_000031	rna-XANCAGTX0491_000031	PF00291.32,PF00585.25,PF00585.25	Complete	None
gene-XANCAGTX0491_000032	rna-XANCAGTX0491_000032	PF00291.32	Partial	None
gene-XANCAGTX0491_000033	rna-XANCAGTX0491_000033	PF04588.19	Partial	None
gene-XANCAGTX0491_000034	rna-XANCAGTX0491_000034	PF07690.22	Partial	None
gene-XANCAGTX0491_000035	rna-XANCAGTX0491_000035	PF00923.26	Partial	None
gene-XANCAGTX0491_000036	rna-XANCAGTX0491_000036		None	None
gene-XANCAGTX0491_000037	rna-XANCAGTX0491_000037		None	None
gene-XANCAGTX0491_000038	rna-XANCAGTX0491_000038	PF00501.35,PF00550.32,PF07993.19	Complete	None
gene-XANCAGTX0491_000039	rna-XANCAGTX0491_000039		None	None
gene-XANCAGTX0491_000040	rna-XANCAGTX0491_000040	PF11927.15	Partial	None
gene-XANCAGTX0491_000041	rna-XANCAGTX0491_000041		None	None
gene-XANCAGTX0491_000042	rna-XANCAGTX0491_000042	PF07534.23	Partial	None
gene-XANCAGTX0491_000042	rna-XANCAGTX0491_000042-2	PF07534.23	Complete	None
gene-XANCAGTX0491_000043	rna-XANCAGTX0491_000043		None	None
gene-XANCAGTX0491_000044	rna-XANCAGTX0491_000044	PF01036.25	Partial	None
gene-XANCAGTX0491_000045	rna-XANCAGTX0491_000045	PF02535.29	Partial	None
gene-XANCAGTX0491_000046	rna-XANCAGTX0491_000046	PF00501.35	Partial	None
gene-XANCAGTX0491_000047	rna-XANCAGTX0491_000047	PF00501.35,PF13193.13	Complete	None
gene-XANCAGTX0491_000048	rna-XANCAGTX0491_000048	PF00333.27,PF03719.22	Complete	None
gene-XANCAGTX0491_000049	rna-XANCAGTX0491_000049	PF01722.24	Partial	None
gene-XANCAGTX0491_000050	rna-XANCAGTX0491_000050		None	None
gene-XANCAGTX0491_000051	rna-XANCAGTX0491_000051		None	None
