protein_id	length
GML000001_mRNA1	1425
GML000101_mRNA1	668
GML000201_mRNA1	362
GML000301_mRNA1	464
GML000401_mRNA1	369
GML000501_mRNA1	500
GML000601_mRNA1	1441
GML000701_mRNA1	423
GML000801_mRNA1	148
GML000901_mRNA1	187
GML001001_mRNA1	1122
GML001101_mRNA1	175
GML001201_mRNA1	298
GML001301_mRNA1	249
GML001401_mRNA1	559
GML001501_mRNA1	384
GML001601_mRNA1	735
GML001701_mRNA1	201
GML001801_mRNA1	566
GML001901_mRNA1	690
GML002001_mRNA1	923
GML002101_mRNA1	117
GML002201_mRNA1	1086
GML002301_mRNA1	689
GML002401_mRNA1	407
GML002501_mRNA1	350
GML002601_mRNA1	483
GML002701_mRNA1	706
GML002801_mRNA1	702
GML002901_mRNA1	120
GML003001_mRNA1	169
GML003101_mRNA1	1233
GML003201_mRNA1	899
GML003301_mRNA1	112
GML003401_mRNA1	100
GML003501_mRNA1	702
GML003601_mRNA1	610
GML003701_mRNA1	964
GML003801_mRNA1	159
GML003901_mRNA1	292
GML004001_mRNA1	445
GML004101_mRNA1	773
GML004201_mRNA1	400
GML004301_mRNA1	385
GML004401_mRNA1	627
GML004501_mRNA1	488
GML004601_mRNA1	271
GML004701_mRNA1	397
GML004801_mRNA1	328
GML004901_mRNA1	513
GML005001_mRNA1	611
GML005101_mRNA1	787
GML005201_mRNA1	284
GML005301_mRNA1	322
GML005401_mRNA1	687
GML005501_mRNA1	586
GML005601_mRNA1	729
GML005701_mRNA1	489
GML005801_mRNA1	281
GML005901_mRNA1	404
GML006001_mRNA1	140
GML006101_mRNA1	187
GML006201_mRNA1	961
GML006301_mRNA1	491
GML006401_mRNA1	1060
GML006501_mRNA1	395
GML006600_mRNA1	513
GML006701_mRNA1	526
GML006801_mRNA1	426
GML006901_mRNA1	395
GML007001_mRNA1	359
GML007101_mRNA1	1123
GML007201_mRNA1	384
GML007301_mRNA1	808
GML007401_mRNA1	471
GML007501_mRNA1	434
GML007601_mRNA1	337
GML007701_mRNA1	280
GML007801_mRNA1	548
GML007901_mRNA1	705
GML008001_mRNA1	253
GML008101_mRNA1	723
GML008201_mRNA1	931
GML008301_mRNA1	496
GML008401_mRNA1	430
GML008501_mRNA1	276
GML008601_mRNA1	344
GML008701_mRNA1	261
GML008801_mRNA1	658
GML008901_mRNA1	117
GML009001_mRNA1	564
GML009101_mRNA1	489
GML009201_mRNA1	502
GML009301_mRNA1	171
GML009401_mRNA1	550
GML009501_mRNA1	712
GML009601_mRNA1	484
GML009701_mRNA1	448
