protein_id	length
rna-XM_041547950.1	231
rna-XM_041548050.1	826
rna-XM_041548150.1	571
rna-XM_041548250.1	496
rna-XM_041548350.1	172
rna-XM_041548450.1	1076
rna-XM_041548550.1	204
rna-XM_041548650.1	413
rna-XM_041548750.1	60
rna-XM_041548850.1	322
rna-XM_041548950.1	81
rna-XM_041549050.1	642
rna-XM_041549150.1	557
rna-XM_041549250.1	682
rna-XM_041549350.1	1359
rna-XM_041549450.1	447
rna-XM_041549550.1	495
rna-XM_041549650.1	109
rna-XM_041549750.1	460
rna-XM_041549850.1	165
rna-XM_041549950.1	148
rna-XM_041550050.1	286
rna-XM_041550150.1	350
rna-XM_041550250.1	701
rna-XM_041550350.1	659
rna-XM_041550450.1	707
rna-XM_041550550.1	2454
rna-XM_041550650.1	235
rna-XM_041550750.1	592
rna-XM_041550850.1	82
rna-XM_041550950.1	779
rna-XM_041551050.1	1510
rna-XM_041551150.1	198
rna-XM_041551250.1	417
rna-XM_041551350.1	462
rna-XM_041551450.1	387
rna-XM_041551550.1	313
rna-XM_041551650.1	206
rna-XM_041551750.1	494
rna-XM_041551850.1	150
rna-XM_041551950.1	1122
rna-XM_041552050.1	197
rna-XM_041552150.1	196
rna-XM_041552250.1	272
rna-XM_041552350.1	1082
rna-XM_041552450.1	1589
rna-XM_041552550.1	258
rna-XM_041552650.1	391
rna-XM_041552750.1	760
rna-XM_041552850.1	550
rna-XM_041552950.1	634
rna-XM_041553050.1	254
rna-XM_041553150.1	350
