gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00106.32,PF00106.32,PF01370.28,PF01370.28,PF13561.13,PF13561.13	NA	100
GML000002	PF26112.1,PF26191.1,PF26200.2	NA	100
GML000003	PF01565.29,PF01565.29	GO:0050660	100
GML000004	PF20684.4	NA	100
GML000005		NA	100
GML000006	PF11807.14	GO:0043386	2
GML000007	PF05699.20,PF05699.20	GO:0046983	100
GML000008	PF00194.27,PF00194.27	NA	100
GML000009		NA	100
GML000010	PF01189.24,PF21148.4,PF21153.4	NA	100
GML000011	PF01412.24	GO:0005096	100
GML000012	PF07690.22	GO:0022857,GO:0055085	6
GML000013		NA	100
GML000014	PF01569.28,PF01569.28	NA	100
GML000015	PF01967.28,PF01967.28,PF04055.28,PF04055.28,PF06463.19,PF06463.19	GO:0003824,GO:0006777,GO:0051536,GO:0051539	8
GML000016	PF00026.29	NA	100
GML000017		NA	100
GML000018	PF00270.36,PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
GML000019	PF00534.27,PF00534.27,PF08288.19,PF13439.13,PF13579.13,PF13692.13,PF13692.13,PF20706.4,PF20706.4	GO:0006506,GO:0016757	8
GML000020	PF11937.14	NA	100
GML000021	PF00083.31,PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000022	PF01920.26	GO:0006457,GO:0016272,GO:0051082	5
GML000023	PF29748.1	NA	100
GML000024	PF08172.18,PF25398.2	GO:0000139,GO:0006891	6
GML000025	PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000026		NA	100
GML000027		NA	100
GML000028		NA	100
GML000029	PF01922.24	GO:0006614,GO:0008312,GO:0048500	4
GML000030	PF00202.28	GO:0030170	100
GML000031	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000032	PF05859.18	GO:0000278,GO:0000775,GO:0005634	100
GML000033		NA	100
GML000034	PF06985.18,PF06985.18	NA	100
GML000035	PF00092.35,PF00092.35	NA	100
GML000036		NA	100
GML000037		NA	100
GML000038	PF03184.26	NA	1
GML000039	PF00226.37,PF00226.37,PF02889.22,PF02889.22	NA	100
GML000040	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000041	PF03547.24	GO:0016020,GO:0055085	6
GML000042	PF01633.27,PF01633.27,PF01636.30,PF01636.30,PF04428.20,PF04428.20	GO:0016773	8
GML000043	PF01814.29,PF01814.29,PF01814.29	NA	100
GML000044		NA	100
GML000045	PF20684.4	NA	100
GML000046		NA	100
GML000047	PF00628.36,PF20826.3	NA	100
GML000048		NA	100
GML000049	PF01151.24	GO:0009922,GO:0016020	8
GML000050	PF03256.23,PF03256.23	NA	100
GML000051		NA	100
GML000052		NA	100
GML000053		NA	100
GML000054	PF00083.31,PF00083.31,PF00083.31,PF07690.22,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000055	PF10496.15,PF10496.15	NA	100
GML000056	PF00155.28,PF00155.28	GO:0009058,GO:0030170	8
GML000057	PF14244.13	NA	100
GML000058	PF01648.26	GO:0000287,GO:0008897	8
GML000059	PF03229.19	NA	100
GML000060	PF04681.18	NA	100
GML000061	PF11915.14	NA	100
GML000062	PF00487.31	GO:0006629	8
GML000063	PF00328.28,PF00328.28	NA	100
GML000064	PF00324.28,PF00324.28,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000065		NA	100
GML000066	PF01425.27	NA	100
GML000067	PF09362.16,PF09362.16	NA	100
GML000068	PF04479.19	GO:0016020	100
GML000069	PF03114.24,PF10455.15	GO:0005515,GO:0005737	100
GML000070	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000071		NA	100
GML000072	PF00097.32,PF12678.14,PF13445.13,PF13639.13,PF13923.13	GO:0008270,GO:0046872	100
GML000073	PF04090.19	GO:0001164,GO:0001181,GO:0006361	3
GML000074		NA	100
GML000075	PF02811.27	GO:0003824	8
GML000076	PF00254.35	GO:0003755	8
GML000077		NA	100
GML000078		NA	100
GML000079		NA	100
GML000080		NA	100
GML000081	PF20684.4,PF20684.4,PF20684.4,PF20684.4	NA	100
GML000082		NA	100
GML000083	PF00264.26	GO:0016491	8
GML000084		NA	100
GML000085	PF16670.12,PF16670.12	NA	100
GML000086	PF00106.32,PF01370.28,PF08659.17,PF13561.13	NA	100
GML000087	PF00128.32,PF00128.32,PF00128.32,PF00534.27,PF00534.27,PF08323.18,PF08323.18,PF13692.13,PF13692.13,PF26108.1,PF26108.1,PF26108.1,PF26111.1,PF26111.1,PF26111.1,PF26114.1,PF26114.1,PF26122.1,PF26122.1,PF26127.1,PF26127.1,PF26775.1,PF26775.1	GO:0005975,GO:0016757	8
GML000088	PF00534.27,PF00534.27,PF08323.18,PF08323.18,PF13692.13,PF13692.13,PF26111.1,PF26114.1,PF26122.1,PF26122.1,PF26127.1,PF26127.1,PF26775.1,PF26775.1	GO:0016757	8
GML000089	PF20684.4,PF20684.4	NA	100
GML000090	PF02985.29,PF03810.26,PF13513.13,PF25574.2	GO:0005515,GO:0006886,GO:0031267	6
GML000091	PF00481.27	NA	100
GML000092		NA	100
GML000093		NA	100
GML000094	PF01187.25,PF01187.25	NA	100
GML000095	PF09415.17	GO:0006281,GO:0051382	3
GML000096		NA	100
GML000097	PF00314.23,PF00314.23	NA	100
GML000098	PF00703.28,PF17786.8,PF22666.3	GO:0004553,GO:0005975	8
GML000099	PF00172.24,PF00172.24,PF04082.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000100		NA	100
GML000101	PF00005.34,PF00005.34,PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF01061.30,PF01061.30,PF06422.19,PF06422.19,PF06422.19,PF06422.19,PF14510.12,PF14510.12,PF19055.7,PF19055.7	GO:0005524,GO:0016020,GO:0016887,GO:0042626,GO:0055085,GO:0140359	6
