gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-JCM15063_003162	rna-XM_076675083.1	PF08101.17	Partial	None
gene-JCM15063_003163	rna-XM_076675084.1		None	None
gene-JCM15063_003164	rna-XM_076675085.1	PF04488.22	Partial	None
gene-JCM15063_003165	rna-XM_076675086.1	PF00107.33,PF08240.18	Partial	None
gene-JCM15063_003166	rna-XM_076675087.1	PF00505.26,PF09011.17	Partial	None
gene-JCM15063_003167	rna-XM_076675088.1	PF12519.15	Partial	None
gene-JCM15063_003168	rna-XM_076675089.1		None	None
gene-JCM15063_003169	rna-XM_076675090.1		None	None
gene-JCM15063_003170	rna-XM_076675091.1	PF03403.20,PF03403.20	Partial	None
gene-JCM15063_003171	rna-XM_076675092.1	PF00227.32	Partial	None
gene-JCM15063_003172	rna-XM_076675093.1	PF10163.15	Partial	None
gene-JCM15063_003173	rna-XM_076675094.1	PF00005.34,PF00005.34,PF01061.30,PF01061.30,PF06422.19,PF19055.7	Complete	None
gene-JCM15063_003174	rna-XM_076675095.1	PF01965.31	Partial	None
gene-JCM15063_003175	rna-XM_076675096.1	PF02222.28,PF02222.28,PF02786.23,PF02786.23,PF02787.27,PF07478.19,PF25596.2,PF25596.2	Complete	None
gene-JCM15063_003176	rna-XM_076675097.1	PF00023.37,PF12796.14	Complete	None
gene-JCM15063_003177	rna-XM_076675098.1	PF00614.30,PF00614.30,PF11894.15	Partial	None
gene-JCM15063_003178	rna-XM_076675099.1	PF03879.21	Partial	None
gene-JCM15063_003179	rna-XM_076675100.1	PF07690.22	Partial	None
gene-JCM15063_003180	rna-XM_076675101.1	PF00069.32,PF00069.32,PF00072.31,PF07714.24	Complete	None
gene-JCM15063_003181	rna-XM_076675102.1		None	None
gene-JCM15063_003182	rna-XM_076675103.1	PF00153.33,PF00153.33,PF00153.33,PF00153.33	Complete	None
gene-JCM15063_003183	rna-XM_076675104.1	PF00118.30	Partial	None
gene-JCM15063_003184	rna-XM_076675105.1	PF07690.22	Partial	None
gene-JCM15063_003185	rna-XM_076675106.1	PF07690.22	Partial	None
gene-JCM15063_003186	rna-XM_076675107.1	PF08240.18	Partial	None
gene-JCM15063_003187	rna-XM_076675108.1	PF05093.19,PF16803.12	Complete	None
gene-JCM15063_003188	rna-XM_076675109.1	PF00447.24	Complete	None
gene-JCM15063_003189	rna-XM_076675110.1	PF00850.25	Partial	None
gene-JCM15063_003190	rna-XM_076675111.1		None	None
gene-JCM15063_003191	rna-XM_076675112.1	PF01084.27	Complete	None
gene-JCM15063_003192	rna-XM_076675113.1	PF01435.25	Partial	None
gene-JCM15063_003193	rna-XM_076675114.1	PF04042.22,PF18018.8	Partial	None
gene-JCM15063_003194	rna-XM_076675115.1	PF04889.18	Partial	None
gene-JCM15063_003195	rna-XM_076675116.1	PF08613.17,PF08613.17	Partial	None
gene-JCM15063_003196	rna-XM_076675117.1	PF06127.17	Partial	None
gene-JCM15063_003197	rna-XM_076675118.1		None	None
gene-JCM15063_003198	rna-XM_076675119.1	PF30667.1	Partial	None
gene-JCM15063_003199	rna-XM_076675120.1	PF02463.26,PF02463.26,PF06470.19,PF13304.13	Complete	None
gene-JCM15063_003200	rna-XM_076675121.1	PF00067.28,PF02463.26,PF06470.19,PF13476.13	Complete	None
gene-JCM15063_003201	rna-XM_076675122.1		None	None
gene-JCM15063_003202	rna-XM_076675123.1		None	None
gene-JCM15063_003203	rna-XM_076675124.1		None	None
gene-JCM15063_003204	rna-XM_076675125.1		None	None
gene-JCM15063_003205	rna-XM_076675126.1	PF01435.25,PF16491.11	Partial	None
gene-JCM15063_003206	rna-XM_076675127.1	PF00227.32,PF10584.15	Partial	None
gene-JCM15063_003207	rna-XM_076675128.1		None	None
gene-JCM15063_003208	rna-XM_076675129.1		None	None
gene-JCM15063_003209	rna-XM_076675130.1		None	None
gene-JCM15063_003210	rna-XM_076675131.1	PF00069.32,PF07714.24	Partial	None
gene-JCM15063_003211	rna-XM_076675132.1		None	None
gene-JCM15063_003212	rna-XM_076675133.1	PF03943.20,PF22602.3,PF24048.2	Complete	None
gene-JCM15063_003213	rna-XM_076675134.1		None	None
gene-JCM15063_003214	rna-XM_076675135.1		None	None
gene-JCM15063_003215	rna-XM_076675136.1		None	None
gene-JCM15063_003216	rna-XM_076675137.1	PF00410.25	Partial	None
gene-JCM15063_003217	rna-XM_076675138.1	PF00583.32,PF08445.17,PF09405.16	Complete	None
gene-JCM15063_003218	rna-XM_076675139.1		None	None
gene-JCM15063_003219	rna-XM_076675140.1	PF00117.35,PF00218.29,PF00697.29,PF07722.20	Complete	None
gene-JCM15063_003220	rna-XM_076675141.1	PF03248.19	Partial	None
gene-JCM15063_003221	rna-XM_076675142.1	PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19,PF08238.19	Complete	None
gene-JCM15063_003222	rna-XM_076675143.1	PF03388.22	Partial	None
gene-JCM15063_003223	rna-XM_076675144.1	PF00171.28	Partial	None
gene-JCM15063_003224	rna-XM_076675145.1	PF00675.26,PF05193.27	Partial	None
gene-JCM15063_003225	rna-XM_076675146.1	PF14223.15,PF14244.13	Partial	None
gene-JCM15063_003226	rna-XM_076675147.1	PF00996.25	Partial	None
gene-JCM15063_003227	rna-XM_076675148.1	PF12697.14	Partial	None
gene-JCM15063_003228	rna-XM_076675149.1	PF01872.23	Partial	None
gene-JCM15063_003229	rna-XM_076675150.1		None	None
gene-JCM15063_003230	rna-XM_076675151.1	PF00884.29,PF01663.28,PF04987.20	Partial	None
gene-JCM15063_003231	rna-XM_076675152.1	PF10153.15	Partial	None
gene-JCM15063_003232	rna-XM_076675153.1	PF18596.7	Complete	None
gene-JCM15063_003233	rna-XM_076675154.1		None	None
gene-JCM15063_003234	rna-XM_076675155.1	PF04133.20	Partial	None
gene-JCM15063_003235	rna-XM_076675156.1	PF01151.24	Partial	None
gene-JCM15063_003236	rna-XM_076675157.1	PF00320.34,PF25823.2	Complete	None
gene-JCM15063_003237	rna-XM_076675158.1	PF00505.26	Partial	None
gene-JCM15063_003238	rna-XM_076675159.1	PF00106.32,PF08659.17,PF13561.13	Partial	None
gene-JCM15063_003239	rna-XM_076675160.1	PF04140.20,PF04191.19,PF06966.18	Complete	None
gene-JCM15063_003240	rna-XM_076675161.1	PF08316.17	Complete	None
gene-JCM15063_003241	rna-XM_076675162.1	PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	Partial	None
gene-JCM15063_003242	rna-XM_076675163.1		None	None
gene-JCM15063_003243	rna-XM_076675164.1		None	None
gene-JCM15063_003244	rna-XM_076675165.1	PF00069.32,PF07714.24	Partial	None
gene-JCM15063_003245	rna-XM_076675166.1	PF01553.27	Partial	None
gene-JCM15063_003246	rna-XM_076675167.1	PF00170.27,PF07716.21	Partial	None
gene-JCM15063_003247	rna-XM_076675168.1		None	None
gene-JCM15063_003248	rna-XM_076675169.1	PF00276.26	Partial	None
gene-JCM15063_003249	rna-XM_076675170.1	PF05686.19	Partial	None
gene-JCM15063_003250	rna-XM_076675171.1	PF02386.23	Partial	None
gene-JCM15063_003251	rna-XM_076675172.1	PF01735.24	Partial	None
gene-JCM15063_003252	rna-XM_076675173.1	PF01156.25	Partial	None
gene-JCM15063_003253	rna-XM_076675174.1	PF00583.32	Partial	None
gene-JCM15063_003254	rna-XM_076675175.1	PF11817.15,PF29907.1,PF30052.1	Complete	None
gene-JCM15063_003255	rna-XM_076675176.1	PF12430.14,PF12537.14	Complete	None
gene-JCM15063_003256	rna-XM_076675177.1		None	None
gene-JCM15063_003257	rna-XM_076675178.1	PF00248.28	Partial	None
gene-JCM15063_003258	rna-XM_076675179.1	PF03870.22	Partial	None
gene-JCM15063_003259	rna-XM_076675180.1		None	None
gene-JCM15063_003260	rna-XM_076675181.1		None	None
gene-JCM15063_003261	rna-XM_076675182.1	PF00107.33,PF08240.18,PF13602.13	Partial	None
gene-JCM15063_003262	rna-XM_076675183.1	PF01217.27	Partial	None
gene-JCM15063_003263	rna-XM_076675184.1		None	None
gene-JCM15063_003264	rna-XM_076675185.1		None	None
gene-JCM15063_003265	rna-XM_076675186.1	PF00091.32,PF03953.23,PF10644.16	Complete	None
gene-JCM15063_003266	rna-XM_076675187.1		None	None
gene-JCM15063_003267	rna-XM_076675188.1	PF10436.15	Partial	None
gene-JCM15063_003268	rna-XM_076675189.1		None	None
gene-JCM15063_003269	rna-XM_076675190.1	PF10337.16	Partial	None
gene-JCM15063_003270	rna-XM_076675191.1	PF00270.36,PF00271.38	Complete	None
gene-JCM15063_003271	rna-XM_076675192.1	PF11380.14,PF17102.11	Complete	None
gene-JCM15063_003272	rna-XM_076675193.1	PF03435.25,PF05368.20,PF13460.13	Partial	None
gene-JCM15063_003273	rna-XM_076675194.1	PF01975.24	Partial	None
gene-JCM15063_003274	rna-XM_076675195.1	PF09734.16,PF17682.7	Partial	None
gene-JCM15063_003275	rna-XM_076675196.1	PF10496.15	Partial	None
gene-JCM15063_003276	rna-XM_076675197.1	PF01909.30,PF04926.21,PF04928.23,PF20750.4	Complete	None
gene-JCM15063_003277	rna-XM_076675198.1	PF09335.17	Partial	None
gene-JCM15063_003278	rna-XM_076675199.1		None	None
gene-JCM15063_003279	rna-XM_076675200.1	PF07690.22	Partial	None
gene-JCM15063_003280	rna-XM_076675201.1	PF01757.29,PF13632.13	Complete	None
gene-JCM15063_003281	rna-XM_076675202.1	PF00156.34,PF13793.13,PF13793.13,PF14572.13	Partial	None
gene-JCM15063_003282	rna-XM_076675203.1	PF00494.25	Partial	None
gene-JCM15063_003283	rna-XM_076675204.1		None	None
gene-JCM15063_003284	rna-XM_076675205.1	PF00012.27,PF06723.20	Partial	None
gene-JCM15063_003285	rna-XM_076675206.1	PF09783.15	Complete	None
gene-JCM15063_003286	rna-XM_076675207.1	PF00617.25,PF00618.26	Complete	None
gene-JCM15063_003287	rna-XM_076675208.1	PF00294.30,PF04227.18	Partial	None
gene-JCM15063_003288	rna-XM_076675209.1	PF00389.37,PF02826.26,PF03446.22	Partial	None
gene-JCM15063_003289	rna-XM_076675210.1	PF23190.2,PF23317.2	Partial	None
gene-JCM15063_003290	rna-XM_076675211.1	PF01783.30	Complete	None
gene-JCM15063_003291	rna-XM_076675212.1	PF00314.23	Partial	None
gene-JCM15063_003292	rna-XM_076675213.1	PF13869.13	Partial	None
