gene_id	pfam_ids	go_ids	bin_id
gene-C8A01DRAFT_42369		NA	100
gene-C8A01DRAFT_42370	PF09597.19	NA	100
gene-C8A01DRAFT_30929	PF00097.32,PF00176.30,PF00271.38,PF13445.13,PF13639.13,PF13920.13,PF13923.13,PF26021.1	GO:0005524,GO:0046872	100
gene-C8A01DRAFT_42372	PF00646.39,PF07393.18,PF12937.13	GO:0005515	100
gene-C8A01DRAFT_11810	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-C8A01DRAFT_30932	PF10277.16,PF10277.16	NA	100
gene-C8A01DRAFT_42375	PF12757.13	NA	100
gene-C8A01DRAFT_30934	PF00573.28,PF14374.12	GO:0003735,GO:0005840,GO:0006412	4
gene-C8A01DRAFT_11830	PF00295.24	GO:0004650,GO:0005975	8
gene-C8A01DRAFT_42378		NA	100
gene-C8A01DRAFT_11867	PF00133.29,PF00133.29,PF09334.18	GO:0000166,GO:0004812,GO:0005524,GO:0006418	8
gene-C8A01DRAFT_30938	PF13302.14	GO:0016747	8
gene-C8A01DRAFT_11752	PF00291.32	NA	100
gene-C8A01DRAFT_11833		NA	100
gene-C8A01DRAFT_11836	PF04042.22,PF18018.8	GO:0003677,GO:0006260	4
gene-C8A01DRAFT_30942	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF08154.19	GO:0005515	100
gene-C8A01DRAFT_11809	PF01612.27	GO:0003676,GO:0006139,GO:0008408	4
gene-C8A01DRAFT_30944		NA	100
gene-C8A01DRAFT_30945	PF01193.30,PF13656.12	GO:0003899,GO:0006351,GO:0046983	8
gene-C8A01DRAFT_42387	PF01490.25	NA	100
gene-C8A01DRAFT_30947	PF00324.28,PF03522.21,PF03522.21,PF13520.13	GO:0006811,GO:0016020,GO:0022857,GO:0055085	6
gene-C8A01DRAFT_30948		NA	100
gene-C8A01DRAFT_11769	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-C8A01DRAFT_42390	PF03881.21	NA	100
gene-C8A01DRAFT_42391		NA	100
gene-C8A01DRAFT_30951		NA	100
gene-C8A01DRAFT_42392	PF02492.26	NA	100
gene-C8A01DRAFT_42393		NA	100
gene-C8A01DRAFT_30954	PF08555.16	NA	100
gene-C8A01DRAFT_30955		NA	100
gene-C8A01DRAFT_42394		NA	100
gene-C8A01DRAFT_11855	PF00378.26,PF16113.11	NA	100
gene-C8A01DRAFT_42396	PF02733.23,PF02734.23,PF03663.21	GO:0004371,GO:0006071	3
gene-C8A01DRAFT_30961	PF00023.37,PF00023.37,PF00710.26,PF12796.14,PF13637.13,PF17763.7	GO:0005515	100
gene-C8A01DRAFT_42399	PF00004.36,PF00004.36,PF08740.17,PF25426.2	GO:0005524,GO:0016887	8
gene-C8A01DRAFT_30963	PF09734.16,PF17682.7	NA	100
