gene_id	pfam_ids	go_ids	bin_id
gene-UHO2_00749		NA	100
gene-UHO2_00750	PF00724.27	GO:0010181,GO:0016491	8
gene-UHO2_00751		NA	100
gene-UHO2_00752		NA	100
gene-UHO2_00753	PF00106.32,PF08659.17,PF13561.13	NA	100
gene-UHO2_00754		NA	100
gene-UHO2_00755	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
gene-UHO2_00756	PF00226.37,PF00684.26,PF01556.24	GO:0031072,GO:0051082	100
gene-UHO2_00757	PF04227.18	GO:0004730	8
gene-UHO2_00758	PF00294.30	NA	100
gene-UHO2_00759	PF01261.31	NA	100
gene-UHO2_00760	PF00254.35,PF17800.8	GO:0003755	8
gene-UHO2_00761		NA	100
gene-UHO2_00762		NA	100
gene-UHO2_00763		NA	100
gene-UHO2_00764		NA	100
gene-UHO2_00765	PF07971.19,PF17678.8	NA	100
gene-UHO2_00766	PF07727.20	NA	100
gene-UHO2_00767		NA	100
gene-UHO2_00768	PF04525.20	NA	100
gene-UHO2_00769	PF13936.13	NA	100
gene-UHO2_00770	PF04140.20,PF06966.18	GO:0004671,GO:0006481,GO:0016020	8
gene-UHO2_00771	PF04515.19	GO:0022857,GO:0055085	6
gene-UHO2_00772	PF00501.35	NA	100
gene-UHO2_00773		NA	100
gene-UHO2_00774	PF05180.18	GO:0008270	100
gene-UHO2_00775	PF01425.27	NA	100
gene-UHO2_00776	PF24913.2,PF24913.2	NA	100
gene-UHO2_00777	PF01472.27,PF17832.8,PF26292.1	GO:0003723	4
gene-UHO2_00778	PF00494.25	GO:0009058	8
gene-UHO2_00779	PF04387.20	NA	100
gene-UHO2_00780	PF03006.27	GO:0016020	100
gene-UHO2_00781	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
gene-UHO2_00782	PF03009.24	GO:0006629,GO:0008081	8
gene-UHO2_00783		NA	100
gene-UHO2_00784	PF03969.23	GO:0005524,GO:0016887	8
gene-UHO2_00785	PF00903.32	NA	100
gene-UHO2_00786	PF07690.22	GO:0022857,GO:0055085	6
gene-UHO2_00787	PF12146.16,PF12697.14	NA	100
gene-UHO2_00788	PF00083.31,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-UHO2_00789		NA	100
gene-UHO2_00790		NA	100
gene-UHO2_00791	PF05724.18	GO:0008757	8
gene-UHO2_00792		NA	100
gene-UHO2_00793	PF24840.2	NA	100
gene-UHO2_00794	PF05153.22	GO:0005506,GO:0005737,GO:0019310,GO:0050113	2
gene-UHO2_00795	PF01619.25,PF01619.25	NA	100
gene-UHO2_10000		NA	100
gene-UHO2_00796	PF04193.20,PF04193.20	NA	100
gene-UHO2_00797	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-UHO2_00798	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
gene-UHO2_00799	PF03937.22	NA	100
gene-UHO2_00800		NA	100
gene-UHO2_00801	PF00070.34,PF00355.33,PF07992.21,PF13738.13	GO:0016491,GO:0051537	8
gene-UHO2_00802	PF00923.26	GO:0005975	8
gene-UHO2_00803		NA	100
gene-UHO2_00804	PF00226.37	NA	100
gene-UHO2_00805		NA	100
gene-UHO2_00806	PF07727.20	NA	100
gene-UHO2_00807		NA	100
gene-UHO2_00808		NA	100
gene-UHO2_00809		NA	100
gene-UHO2_00810	PF03313.22,PF03315.22	GO:0003941,GO:0006094,GO:0051539	8
gene-UHO2_00811		NA	100
gene-UHO2_00812	PF13523.13	NA	100
gene-UHO2_00813	PF00107.33,PF08240.18,PF13602.13	NA	100
gene-UHO2_00814	PF00724.27	GO:0010181,GO:0016491	8
