gene_id	pfam_ids	go_ids	bin_id
GML000001	PF00098.29,PF00098.29,PF30901.1,PF30901.1	GO:0003676,GO:0008270	4
GML000002		NA	100
GML000003		NA	100
GML000004	PF00657.29,PF13472.13,PF13517.13,PF13517.13	GO:0016788	8
GML000005	PF00106.32,PF13561.13	NA	100
GML000006	PF01490.25,PF01490.25	NA	100
GML000007	PF00005.34,PF00005.34,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000008	PF00005.34,PF00005.34,PF00005.34,PF00005.34,PF00664.29,PF00664.29,PF00664.29	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	6
GML000009		NA	100
GML000010		NA	100
GML000011	PF00083.31,PF00083.31,PF06609.19,PF06609.19,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000012	PF07110.18	GO:0016491	8
GML000013	PF00106.32,PF00106.32,PF00106.32,PF00106.32,PF13561.13,PF13561.13,PF13561.13,PF13561.13	NA	100
GML000014	PF04082.24,PF04082.24,PF04082.24	GO:0003677,GO:0006351,GO:0008270	4
GML000015		NA	100
GML000016	PF02668.23	GO:0016491	8
GML000017		NA	100
GML000018	PF01161.27,PF01161.27	NA	100
GML000019	PF06985.18,PF06985.18	NA	100
GML000020	PF04366.18	NA	100
GML000021	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000022	PF00172.24,PF00172.24,PF00172.24,PF11951.14,PF11951.14,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000023	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000024	PF02469.28,PF02469.28	NA	100
GML000025	PF05572.20	NA	100
GML000026		NA	100
GML000027		NA	100
GML000028	PF10282.16	NA	100
GML000029	PF02798.27,PF13409.13,PF13417.13	NA	100
GML000030	PF01670.24,PF01670.24	GO:0000272,GO:0008810	8
GML000031	PF03992.23	NA	100
GML000032	PF11951.14,PF11951.14,PF11951.14,PF11951.14	NA	100
GML000033	PF00890.31,PF01266.31,PF01593.31,PF01946.24,PF12831.14,PF13450.13	GO:0016491	8
GML000034	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000035		NA	100
GML000036	PF01055.33,PF21365.4	GO:0004553,GO:0005975	8
GML000037	PF05730.17,PF05730.17	NA	100
GML000038	PF00734.24,PF00734.24	GO:0005576,GO:0005975,GO:0030248	8
GML000039	PF01494.26,PF01494.26	GO:0071949	100
GML000040	PF11204.14	NA	100
GML000041	PF00004.36,PF00004.36,PF00036.39,PF00036.39,PF09336.17,PF09336.17,PF12763.14,PF12763.14,PF17862.8,PF17862.8	GO:0005509,GO:0005515,GO:0005524,GO:0016887	8
GML000042	PF00202.28	GO:0030170	100
GML000043	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000044	PF01773.26,PF07662.19,PF07670.20	NA	100
GML000045	PF12624.15,PF25033.2,PF25036.3,PF25037.2	NA	100
GML000046	PF11911.14	NA	100
GML000047		NA	100
GML000048	PF21041.4,PF21041.4,PF21041.4,PF21041.4,PF21042.3,PF21042.3	GO:0005515,GO:0015631	100
GML000049	PF01585.29,PF07842.18,PF12457.14,PF12656.13	GO:0003676	4
GML000050	PF00082.28,PF05922.22	GO:0006508,GO:0008236	5
GML000051	PF04499.21	GO:0019903	100
GML000052		NA	100
GML000053		NA	100
GML000054	PF00501.35,PF00550.32,PF00550.32,PF00668.26,PF00668.26,PF00668.26	GO:0003824	8
GML000055	PF03169.21	GO:0035673	6
GML000056	PF00106.32,PF08659.17,PF13561.13	NA	100
GML000057	PF11951.14,PF11951.14	NA	100
GML000058		NA	100
GML000059		NA	100
GML000060	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000061	PF19086.6,PF19086.6,PF19086.6	NA	100
GML000062	PF24537.2,PF24537.2	NA	100
GML000063		NA	100
GML000064	PF08432.16,PF08432.16,PF08432.16	NA	100
GML000065	PF08512.19	NA	100
GML000066	PF10601.15,PF10601.15	NA	100
GML000067		NA	100
GML000068	PF00564.31,PF00564.31,PF00564.31,PF00621.26,PF00621.26,PF00621.26,PF06395.17,PF06395.17,PF06395.17,PF15411.13,PF15411.13,PF15411.13,PF22697.3,PF22697.3	GO:0005085,GO:0005515	100
GML000069	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00646.39,PF12937.13	GO:0005515	100
GML000070	PF03357.27	GO:0007034	6
GML000071		NA	100
GML000072		NA	100
GML000073		NA	100
GML000074		NA	100
GML000075	PF07998.18	GO:0006508,GO:0008233	5
GML000076	PF11696.14	NA	100
GML000077		NA	100
GML000078		NA	100
GML000079		NA	100
GML000080		NA	100
GML000081		NA	100
GML000082	PF06884.17	NA	100
GML000083	PF11327.14	NA	100
GML000084	PF09637.16	GO:0003712,GO:0006357,GO:0016592	100
GML000085	PF08645.18,PF13671.13	NA	100
GML000086	PF00083.31,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000087	PF01266.31	NA	100
GML000088		NA	100
GML000089	PF01636.30	NA	100
GML000090		NA	100
GML000091	PF00067.28	GO:0004497,GO:0005506,GO:0016705,GO:0020037	2
GML000092	PF15345.12,PF15345.12	NA	100
GML000093		NA	100
GML000094	PF00098.29,PF00098.29,PF30901.1,PF30901.1	GO:0003676,GO:0008270	4
GML000095	PF01384.26	GO:0005315,GO:0006817,GO:0016020	6
GML000096	PF00389.37,PF02826.26	GO:0016616,GO:0051287	8
GML000097	PF00083.31	GO:0016020,GO:0022857,GO:0055085	6
GML000098		NA	100
GML000099	PF06985.18	NA	100
GML000100	PF06985.18	NA	100
GML000101		NA	100
GML000102	PF27504.1	NA	100
GML000103		NA	100
GML000104	PF07690.22	GO:0022857,GO:0055085	6
GML000105	PF00484.25	GO:0004089,GO:0008270	8
GML000106		NA	100
GML000107	PF02668.23	GO:0016491	8
GML000108	PF00172.24,PF11951.14,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000109	PF01266.31,PF01266.31	NA	100
GML000110	PF00107.33,PF13602.13	NA	100
GML000111	PF01822.25,PF01822.25,PF01822.25,PF01822.25,PF01822.25,PF01822.25,PF01822.25,PF01822.25	NA	100
GML000112	PF00043.31,PF02798.27,PF13409.13,PF14497.12	NA	100
GML000113	PF00096.33,PF00096.33,PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
GML000114	PF05368.20,PF13460.13	NA	100
GML000115	PF01734.28,PF01734.28,PF01734.28,PF01734.28	GO:0006629	8
GML000116	PF08240.18	NA	100
GML000117	PF05368.20,PF13460.13	NA	100
GML000118	PF06985.18,PF26639.1	NA	100
GML000119	PF00324.28,PF00324.28,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000120		NA	100
GML000121	PF13523.13	NA	100
GML000122	PF04678.19,PF04678.19	NA	100
GML000123		NA	100
GML000124	PF00288.33,PF18376.7,PF22700.3	GO:0005524	100
GML000125	PF04884.21	NA	100
GML000126	PF01265.23,PF01265.23,PF01265.23	GO:0004408,GO:0005739	8
GML000127		NA	100
GML000128	PF02487.24,PF02487.24	GO:0016020	100
GML000129	PF03407.23,PF03407.23,PF03407.23,PF05637.19,PF05637.19,PF05637.19	GO:0016020,GO:0016757	8
GML000130		NA	100
GML000131		NA	100
GML000132	PF01636.30,PF01636.30	NA	100
GML000133		NA	100
GML000134	PF07690.22	GO:0022857,GO:0055085	6
GML000135		NA	100
GML000136	PF06985.18,PF06985.18	NA	100
GML000137	PF17389.9,PF21104.4	NA	100
GML000138	PF00083.31,PF07690.22,PF13347.13	GO:0016020,GO:0022857,GO:0055085	6
GML000139		NA	100
GML000140	PF01596.24,PF08241.19,PF13578.13,PF13649.13	GO:0008171,GO:0008757	8
GML000141		NA	100
GML000142	PF20055.6,PF20055.6	NA	100
GML000143		NA	100
GML000144	PF01232.30,PF01232.30,PF08125.19,PF08125.19	GO:0016491	8
GML000145	PF14441.13	NA	100
GML000146	PF00096.33,PF00096.33,PF00096.33,PF00096.33	NA	100
GML000147		NA	100
GML000148	PF01467.33	GO:0003824,GO:0009058	8
GML000149	PF08642.17,PF08642.17	NA	100
GML000150		NA	100
GML000151	PF07896.18	NA	100
GML000152	PF01384.26,PF01384.26	GO:0005315,GO:0006817,GO:0016020	6
GML000153	PF00331.27,PF00734.24	GO:0004553,GO:0005576,GO:0005975,GO:0030248	8
GML000154	PF06985.18	NA	100
GML000155		NA	100
GML000156		NA	100
GML000157		NA	100
GML000158	PF20150.5	NA	100
GML000159	PF00903.32	NA	100
GML000160	PF13520.13,PF13520.13,PF13520.13,PF13520.13,PF13520.13,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000161		NA	100
GML000162	PF26616.1,PF26616.1	NA	100
GML000163	PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF00069.32,PF07714.24,PF07714.24,PF07714.24,PF07714.24,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000164	PF00394.29,PF00394.29,PF07731.21,PF07731.21,PF07731.21,PF07731.21,PF07732.22,PF07732.22,PF07732.22	GO:0005507,GO:0016491	8
GML000165	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
GML000166		NA	100
GML000167	PF00082.28,PF05922.22	GO:0006508,GO:0008236	5
GML000168	PF00083.31,PF07690.22,PF07690.22,PF07690.22	GO:0016020,GO:0022857,GO:0055085	6
GML000169	PF00172.24,PF11951.14	GO:0000981,GO:0006355,GO:0008270	3
GML000170	PF20684.4	NA	100
GML000171	PF06985.18	NA	100
GML000172		NA	100
GML000173	PF20246.4,PF20246.4	NA	100
GML000174		NA	100
GML000175		NA	100
GML000176		NA	100
GML000177		NA	100
GML000178	PF02040.21,PF03600.23,PF03600.23	GO:0015105,GO:0015700,GO:0016020,GO:0055085	6
GML000179	PF01546.34,PF01546.34,PF07687.20,PF07687.20	GO:0016787	8
GML000180		NA	100
GML000181	PF01636.30,PF02958.27	NA	100
GML000182	PF06985.18,PF26640.1	NA	100
GML000183	PF13640.13	NA	100
GML000184	PF00270.36,PF00271.38,PF04408.30,PF07717.23,PF21010.3	GO:0003676,GO:0005524	4
GML000185	PF00226.37,PF00684.26,PF01556.24	GO:0031072,GO:0051082	100
GML000186	PF07690.22	GO:0022857,GO:0055085	6
GML000187	PF26176.1,PF26177.1	NA	100
GML000188	PF00018.35,PF00018.35,PF00130.29,PF00611.29,PF14604.13	GO:0005515	100
GML000189	PF00501.35,PF13193.13	NA	100
GML000190		NA	100
GML000191	PF03795.21,PF03795.21	NA	100
GML000192	PF00635.33	NA	100
GML000193	PF00789.27,PF22562.3,PF24560.2	GO:0005515	100
GML000194	PF00428.25	NA	100
GML000195	PF10303.15,PF10303.15	NA	100
GML000196	PF00487.31,PF08557.16	GO:0006629	8
GML000197	PF00264.26,PF18132.7	GO:0016491	8
GML000198		NA	100
GML000199		NA	100
GML000200	PF08426.16	NA	100
GML000201		NA	100
GML000202	PF02698.24	NA	100
GML000203	PF27239.2	NA	100
GML000204		NA	100
GML000205	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000206		NA	100
GML000207		NA	100
GML000208	PF00023.37,PF00023.37,PF00023.37,PF00023.37,PF04383.20,PF04383.20,PF12796.14,PF12796.14	GO:0005515	100
GML000209	PF00022.27	NA	100
GML000210	PF12223.14	NA	100
GML000211	PF01753.25	NA	100
GML000212	PF03663.21	NA	100
GML000213	PF07970.18,PF13850.12	NA	100
GML000214		NA	100
GML000215	PF00995.29	GO:0016192	6
GML000216	PF00642.31,PF18044.8	GO:0046872	100
GML000217	PF27885.1,PF27886.1	NA	100
GML000218	PF09811.15	NA	100
GML000219	PF00106.32,PF01370.28,PF08659.17,PF13561.13	NA	100
GML000220	PF00583.32,PF08445.17,PF13508.14,PF13673.14	GO:0016747	8
GML000221		NA	100
GML000222	PF01008.24	NA	100
GML000223	PF03031.25,PF03031.25	NA	100
GML000224	PF08570.16	NA	100
GML000225	PF01248.32	NA	100
GML000226	PF02939.22	GO:0006122	8
GML000227	PF01145.32	NA	100
GML000228	PF28365.1	NA	100
GML000229	PF02089.22,PF05057.22	NA	100
GML000230	PF04707.21	NA	100
GML000231	PF11374.14	NA	100
