gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
GML000001	GML000001_mRNA1		None	None
GML000001	GML000001_mRNA2		None	Unchanged
GML000002	GML000002_mRNA1	PF04515.19	Partial	None
GML000002	GML000002_mRNA2	PF04515.19	Partial	Unchanged
GML000003	GML000003_mRNA1	PF01680.24,PF05690.21	Partial	None
GML000004	GML000004_mRNA1	PF00795.28	Partial	None
GML000005	GML000005_mRNA1		None	None
GML000006	GML000006_mRNA1	PF00069.32,PF07714.24	Partial	None
GML000006	GML000006_mRNA2	PF00069.32,PF07714.24	Partial	Unchanged
GML000006	GML000006_mRNA3	PF00069.32,PF07714.24	Partial	Unchanged
GML000007	GML000007_mRNA1	PF00082.28,PF05922.22	Partial	None
GML000007	GML000007_mRNA2	PF00082.28,PF05922.22	Partial	Unchanged
GML000007	GML000007_mRNA3	PF00082.28,PF05922.22	Partial	Unchanged
GML000008	GML000008_mRNA1	PF00133.29,PF08264.20,PF09334.18	Complete	None
GML000008	GML000008_mRNA2	PF00133.29,PF08264.20,PF09334.18	Complete	Unchanged
GML000008	GML000008_mRNA3	PF00133.29,PF08264.20,PF09334.18	Complete	Unchanged
GML000009	GML000009_mRNA1	PF04180.20	Partial	None
GML000010	GML000010_mRNA1		None	None
GML000010	GML000010_mRNA2		None	Unchanged
GML000010	GML000010_mRNA3		None	Unchanged
GML000010	GML000010_mRNA4		None	Unchanged
GML000011	GML000011_mRNA1	PF03031.25	Partial	None
GML000011	GML000011_mRNA2	PF03031.25	Partial	Unchanged
GML000012	GML000012_mRNA1	PF23383.2,PF23383.2,PF24760.2,PF24762.2,PF24762.2	Complete	None
GML000013	GML000013_mRNA1		None	None
GML000013	GML000013_mRNA2		None	Unchanged
GML000014	GML000014_mRNA1	PF00069.32,PF07714.24	Partial	None
GML000014	GML000014_mRNA2	PF00069.32,PF07714.24,PF07714.24	Complete	Extended
GML000015	GML000015_mRNA1	PF01096.24	Complete	None
GML000015	GML000015_mRNA2	PF01096.24	Complete	Unchanged
GML000016	GML000016_mRNA1	PF00096.33,PF00096.33	Complete	None
GML000016	GML000016_mRNA2	PF00096.33,PF00096.33	Complete	Unchanged
GML000017	GML000017_mRNA1		None	None
GML000017	GML000017_mRNA2		None	Unchanged
GML000017	GML000017_mRNA3		None	Unchanged
GML000018	GML000018_mRNA1	PF01756.25,PF02770.25,PF14749.12,PF22924.2	Complete	None
GML000018	GML000018_mRNA2	PF01756.25,PF02770.25,PF14749.12,PF22924.2	Complete	Truncated
GML000019	GML000019_mRNA1	PF01039.28,PF03255.20	Partial	None
GML000019	GML000019_mRNA2	PF01039.28,PF03255.20	Partial	Unchanged
GML000020	GML000020_mRNA1	PF00097.32,PF02037.34,PF13445.13,PF13923.13	Complete	None
GML000020	GML000020_mRNA2	PF00097.32,PF02037.34,PF13445.13,PF13923.13	Complete	Unchanged
GML000021	GML000021_mRNA1	PF00560.40,PF00560.40,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF13855.13,PF23598.2	Complete	None
GML000021	GML000021_mRNA2	PF00560.40,PF00560.40,PF13855.13,PF13855.13,PF13855.13,PF13855.13	Complete	Loss
GML000022	GML000022_mRNA1		None	None
GML000022	GML000022_mRNA2		None	Unchanged
GML000023	GML000023_mRNA1		None	None
GML000024	GML000024_mRNA1	PF00557.30,PF01321.25,PF16188.11,PF16189.12	Complete	None
GML000025	GML000025_mRNA1		None	None
GML000026	GML000026_mRNA1	PF01042.27	Partial	None
GML000026	GML000026_mRNA2	PF01042.27	Partial	Unchanged
GML000027	GML000027_mRNA1	PF11712.14	Partial	None
GML000028	GML000028_mRNA1		None	None
GML000028	GML000028_mRNA2		None	Unchanged
GML000029	GML000029_mRNA1		None	None
GML000030	GML000030_mRNA1	PF00581.26	Partial	None
GML000030	GML000030_mRNA2	PF00581.26	Partial	Unchanged
GML000031	GML000031_mRNA1	PF01161.27	Partial	None
GML000032	GML000032_mRNA1		None	None
GML000033	GML000033_mRNA1		None	None
GML000034	GML000034_mRNA1		None	None
GML000035	GML000035_mRNA1		None	None
GML000035	GML000035_mRNA2		None	Unchanged
GML000036	GML000036_mRNA1		None	None
GML000037	GML000037_mRNA1		None	None
GML000038	GML000038_mRNA1		None	None
GML000039	GML000039_mRNA1		None	None
GML000040	GML000040_mRNA1		None	None
GML000041	GML000041_mRNA1		None	None
GML000041	GML000041_mRNA2		None	Unchanged
GML000042	GML000042_mRNA1		None	None
GML000043	GML000043_mRNA1	PF02410.23	Complete	None
GML000043	GML000043_mRNA2	PF02410.23	Partial	Truncated
GML000044	GML000044_mRNA1	PF01923.24	Partial	None
GML000044	GML000044_mRNA2	PF01923.24	Partial	Unchanged
GML000045	GML000045_mRNA1	PF00557.30,PF15801.12	Partial	None
GML000046	GML000046_mRNA1		None	None
GML000047	GML000047_mRNA1	PF00005.34,PF12698.14,PF13304.13	Complete	None
GML000048	GML000048_mRNA1	PF00005.34,PF13304.13	Complete	None
GML000048	GML000048_mRNA2	PF00005.34,PF12698.14,PF13304.13	Complete	Gain
GML000049	GML000049_mRNA1		None	None
GML000050	GML000050_mRNA1		None	None
GML000051	GML000051_mRNA1	PF00270.36,PF00271.38,PF04851.22	Complete	None
GML000052	GML000052_mRNA1	PF00149.34,PF16891.11	Partial	None
GML000052	GML000052_mRNA2	PF00149.34,PF16891.11	Partial	Unchanged
GML000052	GML000052_mRNA3	PF00149.34,PF16891.11	Partial	Unchanged
GML000053	GML000053_mRNA1	PF00180.26	Partial	None
GML000054	GML000054_mRNA1		None	None
GML000054	GML000054_mRNA2		None	Unchanged
GML000055	GML000055_mRNA1	PF14360.13	Complete	None
GML000056	GML000056_mRNA1		None	None
GML000057	GML000057_mRNA1	PF00646.39,PF07393.18,PF12937.13	Partial	None
GML000058	GML000058_mRNA1	PF08613.17	Partial	None
GML000058	GML000058_mRNA2	PF08613.17	Partial	Unchanged
GML000059	GML000059_mRNA1		None	None
GML000059	GML000059_mRNA2		None	Unchanged
GML000060	GML000060_mRNA1		None	None
GML000061	GML000061_mRNA1	PF00097.32,PF02225.28,PF12678.14,PF12861.14,PF13445.13,PF13639.13,PF13923.13,PF14634.13,PF17123.12	Complete	None
GML000061	GML000061_mRNA2	PF00097.32,PF02225.28,PF12678.14,PF12861.14,PF13445.13,PF13639.13,PF13923.13,PF14634.13,PF17123.12	Complete	Unchanged
GML000062	GML000062_mRNA1	PF01204.25,PF03200.23,PF16923.12,PF22422.3	Complete	None
GML000062	GML000062_mRNA2	PF01204.25,PF03200.23,PF16923.12,PF22422.3	Complete	Unchanged
GML000063	GML000063_mRNA1		None	None
GML000063	GML000063_mRNA2		None	Unchanged
GML000064	GML000064_mRNA1	PF00448.29,PF02881.25,PF03308.23	Complete	None
GML000065	GML000065_mRNA1		None	None
GML000065	GML000065_mRNA2		None	Unchanged
GML000065	GML000065_mRNA3		None	Unchanged
GML000066	GML000066_mRNA1		None	None
GML000066	GML000066_mRNA2		None	Unchanged
GML000067	GML000067_mRNA1		None	None
GML000067	GML000067_mRNA2		None	Unchanged
GML000068	GML000068_mRNA1	PF03463.22,PF03464.21,PF03465.21,PF18854.7,PF18859.7	Complete	None
GML000069	GML000069_mRNA1	PF26191.1,PF26200.2	Complete	None
GML000070	GML000070_mRNA1	PF01480.23	Complete	None
GML000070	GML000070_mRNA2	PF01480.23	Complete	Unchanged
GML000070	GML000070_mRNA3	PF01480.23	Partial	Truncated
GML000071	GML000071_mRNA1		None	None
GML000072	GML000072_mRNA1		None	None
GML000072	GML000072_mRNA2		None	Unchanged
GML000072	GML000072_mRNA3		None	Unchanged
GML000072	GML000072_mRNA4		None	Unchanged
GML000073	GML000073_mRNA1	PF00270.36,PF00271.38	Complete	None
GML000074	GML000074_mRNA1	PF00004.36,PF00004.36	Complete	None
GML000075	GML000075_mRNA1	PF05212.19	Partial	None
GML000076	GML000076_mRNA1		None	None
GML000076	GML000076_mRNA2		None	Unchanged
GML000077	GML000077_mRNA1	PF14494.13,PF30641.1	Complete	None
GML000078	GML000078_mRNA1		None	None
GML000079	GML000079_mRNA1	PF00501.35,PF13570.14	Complete	None
GML000080	GML000080_mRNA1	PF00266.26	Partial	None
GML000081	GML000081_mRNA1	PF01765.25	Partial	None
GML000081	GML000081_mRNA2	PF01765.25	Partial	Unchanged
GML000082	GML000082_mRNA1		None	None
GML000083	GML000083_mRNA1	PF04127.23,PF04127.23	Partial	None
GML000084	GML000084_mRNA1		None	None
GML000084	GML000084_mRNA2		None	Unchanged
GML000085	GML000085_mRNA1	PF06428.17,PF25555.3	Complete	None
GML000086	GML000086_mRNA1	PF00397.33,PF00620.33	Complete	None
GML000086	GML000086_mRNA2	PF00397.33,PF00620.33	Complete	Unchanged
GML000086	GML000086_mRNA3	PF00620.33	Partial	Loss,Truncated
GML000087	GML000087_mRNA1		None	None
GML000088	GML000088_mRNA1	PF00152.26,PF01336.32,PF20917.3	Complete	None
GML000089	GML000089_mRNA1	PF03463.22,PF03465.21,PF03901.24	Complete	None
GML000089	GML000089_mRNA2	PF03463.22,PF03465.21,PF03901.24	Complete	Unchanged
GML000089	GML000089_mRNA3	PF03463.22,PF03465.21	Partial	Loss,Truncated
GML000090	GML000090_mRNA1	PF00240.30,PF01599.27,PF11976.15,PF14560.13	Complete	None
GML000091	GML000091_mRNA1	PF00106.32,PF00106.32,PF13561.13	Partial	None
GML000091	GML000091_mRNA2	PF00106.32,PF08659.17,PF13561.13	Partial	Gain
GML000092	GML000092_mRNA1		None	None
GML000093	GML000093_mRNA1	PF00010.32	Complete	None
GML000094	GML000094_mRNA1	PF02518.32,PF10436.15	Complete	None
GML000095	GML000095_mRNA1		None	None
GML000096	GML000096_mRNA1		None	None
GML000097	GML000097_mRNA1		None	None
GML000098	GML000098_mRNA1	PF18759.8	Partial	None
GML000098	GML000098_mRNA2	PF18759.8	Partial	Unchanged
GML000099	GML000099_mRNA1		None	None
GML000099	GML000099_mRNA2		None	Unchanged
GML000099	GML000099_mRNA3		None	Unchanged
GML000099	GML000099_mRNA4		None	Unchanged
GML000099	GML000099_mRNA5		None	Unchanged
GML000100	GML000100_mRNA1	PF18759.8	Partial	None
GML000101	GML000101_mRNA1		None	None
GML000102	GML000102_mRNA1		None	None
GML000102	GML000102_mRNA2		None	Unchanged
GML000103	GML000103_mRNA1		None	None
GML000103	GML000103_mRNA2		None	Unchanged
GML000104	GML000104_mRNA1		None	None
GML000105	GML000105_mRNA1	PF00025.28,PF00071.29,PF08477.20	Partial	None
GML000106	GML000106_mRNA1		None	None
GML000106	GML000106_mRNA2		None	Unchanged
GML000107	GML000107_mRNA1		None	None
GML000108	GML000108_mRNA1		None	None
GML000109	GML000109_mRNA1	PF01124.24	Partial	None
GML000110	GML000110_mRNA1		None	None
GML000111	GML000111_mRNA1	PF07173.18	Complete	None
GML000112	GML000112_mRNA1	PF10263.16,PF22934.2	Complete	None
GML000113	GML000113_mRNA1	PF10186.15	Partial	None
GML000114	GML000114_mRNA1		None	None
GML000114	GML000114_mRNA2		None	Unchanged
GML000115	GML000115_mRNA1	PF00069.32,PF07714.24,PF17667.8	Partial	None
GML000116	GML000116_mRNA1	PF12937.13	Complete	None
GML000116	GML000116_mRNA2	PF12937.13	Complete	Unchanged
GML000117	GML000117_mRNA1		None	None
GML000118	GML000118_mRNA1		None	None
GML000118	GML000118_mRNA2		None	Unchanged
GML000119	GML000119_mRNA1	PF00069.32,PF07714.24	Partial	None
GML000119	GML000119_mRNA2	PF00069.32,PF07714.24	Partial	Unchanged
GML000120	GML000120_mRNA1	PF04442.20	Partial	None
GML000120	GML000120_mRNA2	PF04442.20	Partial	Unchanged
GML000121	GML000121_mRNA1	PF14382.13,PF15985.12,PF21266.4	Complete	None
GML000122	GML000122_mRNA1	PF00003.29,PF01094.35	Complete	None
GML000122	GML000122_mRNA2	PF00003.29,PF01094.35	Complete	Unchanged
GML000123	GML000123_mRNA1	PF03547.24	Partial	None
GML000124	GML000124_mRNA1		None	None
GML000124	GML000124_mRNA2		None	Unchanged
GML000125	GML000125_mRNA1	PF00005.34,PF01061.30,PF12698.14,PF19055.7	Complete	None
GML000125	GML000125_mRNA2	PF00005.34,PF01061.30,PF12698.14,PF19055.7,PF19055.7	Partial	Truncated
GML000126	GML000126_mRNA1		None	None
GML000126	GML000126_mRNA2		None	Unchanged
GML000126	GML000126_mRNA3		None	Unchanged
GML000126	GML000126_mRNA4		None	Unchanged
GML000127	GML000127_mRNA1	PF00343.27,PF00343.27	Partial	None
GML000127	GML000127_mRNA2	PF00343.27,PF00343.27	Partial	Unchanged
GML000127	GML000127_mRNA3	PF00343.27,PF00343.27	Partial	Unchanged
GML000128	GML000128_mRNA1	PF00160.27	Partial	None
GML000129	GML000129_mRNA1	PF00149.34,PF16891.11	Partial	None
GML000130	GML000130_mRNA1		None	None
GML000131	GML000131_mRNA1	PF00025.28,PF00503.27	Partial	None
GML000132	GML000132_mRNA1	PF00261.26,PF00261.26	Partial	None
GML000133	GML000133_mRNA1		None	None
GML000134	GML000134_mRNA1	PF01204.25,PF01204.25,PF07492.17,PF22422.3	Complete	None
GML000135	GML000135_mRNA1	PF00467.36,PF16906.12	Partial	None
GML000136	GML000136_mRNA1	PF07021.19,PF08241.19,PF13489.13,PF13649.13,PF13847.13	Partial	None
GML000137	GML000137_mRNA1		None	None
GML000137	GML000137_mRNA2		None	Unchanged
GML000138	GML000138_mRNA1	PF11312.15	Partial	None
GML000139	GML000139_mRNA1	PF00149.34,PF16891.11	Partial	None
GML000140	GML000140_mRNA1		None	None
GML000140	GML000140_mRNA2		None	Unchanged
GML000141	GML000141_mRNA1	PF05653.21	Partial	None
GML000142	GML000142_mRNA1	PF00046.36,PF05920.18	Complete	None
GML000143	GML000143_mRNA1		None	None
GML000143	GML000143_mRNA2		None	Unchanged
GML000144	GML000144_mRNA1	PF10350.16,PF25150.2,PF25151.2	Complete	None
GML000144	GML000144_mRNA2	PF10350.16,PF25150.2,PF25151.2	Complete	Truncated
GML000145	GML000145_mRNA1	PF02515.23	Partial	None
GML000146	GML000146_mRNA1		None	None
GML000147	GML000147_mRNA1		None	None
GML000147	GML000147_mRNA2		None	Unchanged
GML000148	GML000148_mRNA1		None	None
GML000148	GML000148_mRNA2		None	Unchanged
GML000148	GML000148_mRNA3		None	Unchanged
GML000149	GML000149_mRNA1	PF00809.29,PF02310.25,PF02574.23,PF02607.23,PF02965.23	Complete	None
GML000150	GML000150_mRNA1		None	None
GML000150	GML000150_mRNA2		None	Unchanged
GML000151	GML000151_mRNA1		None	None
GML000151	GML000151_mRNA2		None	Unchanged
GML000152	GML000152_mRNA1		None	None
GML000153	GML000153_mRNA1		None	None
GML000153	GML000153_mRNA2		None	Unchanged
GML000154	GML000154_mRNA1		None	None
GML000154	GML000154_mRNA2		None	Unchanged
GML000154	GML000154_mRNA3		None	Unchanged
GML000154	GML000154_mRNA4		None	Unchanged
GML000155	GML000155_mRNA1		None	None
GML000155	GML000155_mRNA2		None	Unchanged
GML000156	GML000156_mRNA1		None	None
GML000157	GML000157_mRNA1		None	None
GML000157	GML000157_mRNA2		None	Unchanged
GML000158	GML000158_mRNA1		None	None
GML000159	GML000159_mRNA1	PF09751.15,PF09751.15	Partial	None
GML000159	GML000159_mRNA2	PF09751.15,PF09751.15	Partial	Unchanged
GML000160	GML000160_mRNA1	PF00069.32,PF00169.36,PF00786.34,PF07714.24	Complete	None
GML000161	GML000161_mRNA1	PF04145.21	Partial	None
GML000162	GML000162_mRNA1		None	None
GML000163	GML000163_mRNA1	PF00631.28	Complete	None
GML000164	GML000164_mRNA1	PF03348.22	Partial	None
GML000165	GML000165_mRNA1	PF00173.34,PF00970.31,PF03098.21,PF03188.22	Complete	None
GML000165	GML000165_mRNA2	PF00173.34,PF00970.31,PF03098.21,PF03188.22	Complete	Unchanged
GML000166	GML000166_mRNA1	PF03715.19	Partial	None
GML000167	GML000167_mRNA1		None	None
GML000168	GML000168_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF12894.14	Complete	None
GML000169	GML000169_mRNA1	PF00578.28,PF08534.17,PF10417.15	Complete	None
GML000170	GML000170_mRNA1	PF00291.32	Partial	None
GML000171	GML000171_mRNA1	PF01634.24,PF08029.17,PF09084.17	Complete	None
GML000172	GML000172_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF24807.2	Complete	None
GML000172	GML000172_mRNA2	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF24807.2	Complete	Unchanged
GML000173	GML000173_mRNA1		None	None
GML000174	GML000174_mRNA1		None	None
GML000174	GML000174_mRNA2		None	Unchanged
GML000175	GML000175_mRNA1		None	None
GML000176	GML000176_mRNA1		None	None
GML000177	GML000177_mRNA1		None	None
GML000178	GML000178_mRNA1	PF00498.32	Complete	None
GML000178	GML000178_mRNA2	PF00498.32	Complete	Unchanged
GML000178	GML000178_mRNA3	PF00498.32	Complete	Unchanged
GML000178	GML000178_mRNA4	PF00498.32	Complete	Unchanged
GML000179	GML000179_mRNA1	PF00001.27	Partial	None
GML000179	GML000179_mRNA2		None	Loss
GML000180	GML000180_mRNA1	PF04502.19	Partial	None
GML000180	GML000180_mRNA2	PF04502.19	Partial	Unchanged
GML000181	GML000181_mRNA1	PF22669.3	Partial	None
GML000181	GML000181_mRNA2	PF22669.3	Partial	Unchanged
GML000181	GML000181_mRNA3	PF22669.3	Partial	Unchanged
GML000182	GML000182_mRNA1		None	None
GML000182	GML000182_mRNA2		None	Unchanged
GML000182	GML000182_mRNA3	PF01974.24	Complete	Gain
GML000183	GML000183_mRNA1	PF00800.24,PF01817.27,PF01842.32	Complete	None
GML000184	GML000184_mRNA1		None	None
GML000184	GML000184_mRNA2		None	Unchanged
GML000185	GML000185_mRNA1		None	None
GML000186	GML000186_mRNA1	PF04406.20,PF21180.4	Complete	None
GML000186	GML000186_mRNA2	PF04406.20,PF21180.4	Complete	Unchanged
GML000187	GML000187_mRNA1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF12894.14,PF24796.2	Complete	None
GML000187	GML000187_mRNA2	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF12894.14,PF24796.2	Complete	Unchanged
GML000188	GML000188_mRNA1	PF04032.23	Partial	None
GML000189	GML000189_mRNA1		None	None
GML000190	GML000190_mRNA1	PF06747.19	Partial	None
GML000191	GML000191_mRNA1	PF00069.32,PF07714.24	Partial	None
GML000192	GML000192_mRNA1	PF01532.27	Partial	None
GML000192	GML000192_mRNA2	PF01532.27	Partial	Unchanged
GML000193	GML000193_mRNA1	PF00096.33,PF00096.33,PF00096.33	Complete	None
GML000194	GML000194_mRNA1	PF03328.21,PF15617.13	Partial	None
GML000194	GML000194_mRNA2	PF03328.21,PF15617.13	Partial	Unchanged
GML000195	GML000195_mRNA1	PF00022.27	Partial	None
GML000195	GML000195_mRNA2	PF00022.27	Partial	Unchanged
GML000196	GML000196_mRNA1	PF01012.28	Partial	None
GML000197	GML000197_mRNA1	PF04065.21,PF04153.25	Complete	None
GML000197	GML000197_mRNA2	PF04065.21,PF04153.25	Complete	Unchanged
GML000198	GML000198_mRNA1	PF00542.25,PF16320.11	Complete	None
GML000198	GML000198_mRNA2	PF00542.25,PF16320.11	Partial	Truncated
GML000199	GML000199_mRNA1		None	None
GML000199	GML000199_mRNA2		None	Unchanged
GML000200	GML000200_mRNA1	PF00515.35,PF07719.24,PF12895.14,PF13181.13,PF13181.13,PF13431.13,PF14559.13	Complete	None
GML000201	GML000201_mRNA1	PF00153.33,PF00153.33	Complete	None
GML000202	GML000202_mRNA1	PF00005.34,PF00664.29,PF00664.29,PF00664.29	Complete	None
GML000202	GML000202_mRNA2	PF00005.34,PF00664.29,PF00664.29,PF00664.29	Complete	Unchanged
GML000202	GML000202_mRNA3	PF00005.34,PF00664.29,PF00664.29,PF00664.29	Complete	Unchanged
GML000202	GML000202_mRNA4		None	Loss
GML000203	GML000203_mRNA1	PF00005.34,PF00664.29	Complete	None
GML000203	GML000203_mRNA2	PF00005.34,PF00664.29	Complete	Unchanged
GML000203	GML000203_mRNA3	PF00005.34,PF00664.29	Complete	Unchanged
GML000203	GML000203_mRNA4	PF00005.34,PF00664.29	Complete	Unchanged
GML000203	GML000203_mRNA5	PF00005.34,PF00664.29	Complete	Unchanged
GML000204	GML000204_mRNA1	PF00400.39	Complete	None
GML000205	GML000205_mRNA1		None	None
GML000205	GML000205_mRNA2		None	Unchanged
GML000205	GML000205_mRNA3	PF04499.21	Partial	Gain
GML000205	GML000205_mRNA4		None	Unchanged
GML000205	GML000205_mRNA5		None	Unchanged
GML000206	GML000206_mRNA1		None	None
GML000206	GML000206_mRNA2		None	Unchanged
GML000207	GML000207_mRNA1		None	None
GML000208	GML000208_mRNA1	PF06093.20	Partial	None
GML000209	GML000209_mRNA1		None	None
GML000209	GML000209_mRNA2		None	Unchanged
GML000210	GML000210_mRNA1		None	None
GML000211	GML000211_mRNA1	PF00085.27,PF13098.14	Partial	None
GML000211	GML000211_mRNA2	PF00085.27,PF13098.14	Partial	Unchanged
GML000212	GML000212_mRNA1	PF14226.13	Partial	None
GML000212	GML000212_mRNA2	PF14226.13	Partial	Unchanged
GML000213	GML000213_mRNA1	PF00085.27,PF13098.14	Partial	None
GML000213	GML000213_mRNA2	PF00085.27,PF13098.14	Partial	Unchanged
GML000213	GML000213_mRNA3	PF00085.27,PF13098.14	Partial	Unchanged
GML000214	GML000214_mRNA1	PF00063.28,PF01644.24,PF03142.22,PF08766.17,PF13632.13,PF13641.13	Complete	None
GML000214	GML000214_mRNA2	PF00063.28,PF01644.24,PF03142.22,PF08766.17,PF13632.13,PF13641.13	Complete	Unchanged
GML000215	GML000215_mRNA1		None	None
GML000216	GML000216_mRNA1		None	None
GML000217	GML000217_mRNA1	PF31181.1	Partial	None
GML000218	GML000218_mRNA1		None	None
GML000219	GML000219_mRNA1	PF01485.28	Complete	None
GML000219	GML000219_mRNA2	PF01485.28	Complete	Unchanged
GML000220	GML000220_mRNA1	PF01228.27,PF02901.21	Complete	None
GML000221	GML000221_mRNA1	PF04055.28,PF13353.12	Partial	None
GML000221	GML000221_mRNA2	PF04055.28,PF13353.12	Partial	Unchanged
GML000222	GML000222_mRNA1	PF01485.28,PF01485.28	Complete	None
GML000222	GML000222_mRNA2	PF01485.28,PF01485.28	Complete	Unchanged
GML000223	GML000223_mRNA1	PF00069.32,PF07714.24,PF07714.24,PF14593.13	Complete	None
GML000224	GML000224_mRNA1	PF04495.21,PF04495.21	Partial	None
GML000225	GML000225_mRNA1		None	None
GML000226	GML000226_mRNA1	PF31181.1	Partial	None
GML000227	GML000227_mRNA1		None	None
GML000228	GML000228_mRNA1	PF06218.17	Partial	None
GML000229	GML000229_mRNA1	PF05875.19	Partial	None
GML000230	GML000230_mRNA1	PF03690.19	Partial	None
GML000230	GML000230_mRNA2	PF03690.19	Partial	Unchanged
GML000231	GML000231_mRNA1	PF00082.28,PF02225.28,PF06280.19	Complete	None
GML000232	GML000232_mRNA1	PF00069.32,PF07714.24	Partial	None
GML000233	GML000233_mRNA1		None	None
GML000234	GML000234_mRNA1		None	None
GML000234	GML000234_mRNA2		None	Unchanged
GML000235	GML000235_mRNA1		None	None
GML000236	GML000236_mRNA1	PF00156.34,PF13793.13,PF14572.13	Partial	None
GML000236	GML000236_mRNA2	PF00156.34,PF13793.13,PF14572.13	Partial	Unchanged
GML000237	GML000237_mRNA1	PF00012.27,PF06723.20	Partial	None
GML000238	GML000238_mRNA1		None	None
GML000239	GML000239_mRNA1	PF00925.26	Partial	None
GML000240	GML000240_mRNA1	PF12710.14	Partial	None
GML000240	GML000240_mRNA2	PF12710.14	Partial	Unchanged
GML000240	GML000240_mRNA3	PF12710.14	Partial	Unchanged
GML000240	GML000240_mRNA4	PF12710.14	Partial	Unchanged
GML000241	GML000241_mRNA1		None	None
GML000241	GML000241_mRNA2		None	Unchanged
GML000242	GML000242_mRNA1		None	None
GML000243	GML000243_mRNA1	PF05348.17	Partial	None
GML000244	GML000244_mRNA1	PF00122.26,PF13246.13,PF13246.13,PF16209.11,PF16212.12	Complete	None
GML000244	GML000244_mRNA2	PF00122.26,PF13246.13,PF13246.13,PF16209.11,PF16212.12	Complete	Unchanged
GML000244	GML000244_mRNA3	PF13246.13,PF13246.13,PF16209.11,PF16212.12	Complete	Loss
GML000244	GML000244_mRNA4	PF13246.13,PF13246.13,PF16209.11,PF16212.12	Complete	Loss
GML000245	GML000245_mRNA1		None	None
GML000245	GML000245_mRNA2		None	Unchanged
GML000246	GML000246_mRNA1		None	None
GML000246	GML000246_mRNA2		None	Unchanged
GML000247	GML000247_mRNA1	PF00106.32,PF01370.28,PF08659.17,PF13561.13	Partial	None
GML000247	GML000247_mRNA2	PF00106.32,PF01370.28,PF08659.17,PF13561.13	Partial	Unchanged
GML000248	GML000248_mRNA1		None	None
GML000248	GML000248_mRNA2		None	Unchanged
GML000249	GML000249_mRNA1	PF02333.21,PF02333.21	Partial	None
GML000249	GML000249_mRNA2	PF02333.21,PF02333.21	Partial	Unchanged
GML000249	GML000249_mRNA3	PF02333.21	Partial	Unchanged
GML000250	GML000250_mRNA1		None	None
GML000251	GML000251_mRNA1		None	None
GML000252	GML000252_mRNA1		None	None
GML000253	GML000253_mRNA1		None	None
GML000254	GML000254_mRNA1	PF03372.30	Partial	None
GML000255	GML000255_mRNA1	PF17875.8	Partial	None
GML000256	GML000256_mRNA1	PF14938.13	Partial	None
GML000257	GML000257_mRNA1		None	None
GML000258	GML000258_mRNA1		None	None
GML000259	GML000259_mRNA1	PF00175.27,PF00258.31	Complete	None
GML000259	GML000259_mRNA2	PF00175.27,PF00258.31	Complete	Unchanged
GML000260	GML000260_mRNA1	PF00226.37	Partial	None
GML000260	GML000260_mRNA2	PF00226.37	Partial	Unchanged
GML000261	GML000261_mRNA1	PF00646.39	Partial	None
GML000262	GML000262_mRNA1	PF00071.29,PF08477.20	Partial	None
GML000262	GML000262_mRNA2	PF00071.29,PF08477.20	Partial	Unchanged
GML000263	GML000263_mRNA1		None	None
GML000264	GML000264_mRNA1		None	None
GML000265	GML000265_mRNA1		None	None
GML000266	GML000266_mRNA1		None	None
GML000267	GML000267_mRNA1	PF12937.13	Partial	None
GML000268	GML000268_mRNA1		None	None
GML000269	GML000269_mRNA1		None	None
GML000269	GML000269_mRNA2		None	Unchanged
GML000270	GML000270_mRNA1		None	None
GML000271	GML000271_mRNA1	PF05875.19	Partial	None
GML000272	GML000272_mRNA1	PF08190.18,PF18201.8	Complete	None
GML000272	GML000272_mRNA2	PF08190.18,PF18201.8	Complete	Unchanged
GML000273	GML000273_mRNA1		None	None
GML000274	GML000274_mRNA1		None	None
GML000275	GML000275_mRNA1		None	None
GML000276	GML000276_mRNA1		None	None
GML000277	GML000277_mRNA1		None	None
GML000277	GML000277_mRNA2		None	Unchanged
GML000278	GML000278_mRNA1	PF00003.29	Partial	None
GML000279	GML000279_mRNA1	PF01094.35	Partial	None
GML000279	GML000279_mRNA2	PF01094.35	Partial	Unchanged
GML000279	GML000279_mRNA3	PF01094.35	Partial	Unchanged
