protein_id	length
GML000001_mRNA1	1330
GML000101_mRNA1	276
GML000201_mRNA1	281
GML000301_mRNA1	285
GML000401_mRNA1	292
GML000501_mRNA1	302
GML000601_mRNA1	286
GML000701_mRNA1	331
GML000801_mRNA1	469
GML000901_mRNA1	162
GML001001_mRNA1	775
GML001101_mRNA1	322
GML001201_mRNA1	502
GML001301_mRNA1	350
GML001401_mRNA1	803
GML001501_mRNA1	99
GML001601_mRNA1	28
GML001701_mRNA1	650
GML001801_mRNA1	70
GML001901_mRNA1	399
GML002001_mRNA1	446
GML002101_mRNA1	256
GML002201_mRNA1	253
GML002301_mRNA1	151
GML002401_mRNA1	188
GML002501_mRNA1	641
GML002601_mRNA1	243
GML002701_mRNA1	162
GML002801_mRNA1	631
GML002901_mRNA1	1015
GML003001_mRNA1	173
GML003101_mRNA1	214
GML003201_mRNA1	84
GML003301_mRNA1	336
GML003401_mRNA1	87
GML003501_mRNA1	91
GML003601_mRNA1	575
GML003701_mRNA1	319
GML003801_mRNA1	224
GML003901_mRNA1	545
GML004001_mRNA1	463
GML004101_mRNA1	551
GML004201_mRNA1	215
GML004301_mRNA1	246
GML004402_mRNA1	272
GML004501_mRNA1	117
GML004601_mRNA1	1365
GML004701_mRNA1	233
GML004801_mRNA1	199
GML004901_mRNA1	779
GML005001_mRNA1	96
GML005101_mRNA1	603
GML005201_mRNA1	85
GML005302_mRNA1	130
GML005401_mRNA1	109
GML005501_mRNA1	505
GML005601_mRNA1	541
GML005701_mRNA1	280
GML005801_mRNA1	335
GML005901_mRNA1	572
GML006001_mRNA1	1089
GML006101_mRNA1	936
GML006201_mRNA1	226
GML006301_mRNA1	1055
GML006401_mRNA1	145
GML006501_mRNA1	64
GML006601_mRNA1	520
GML006701_mRNA1	558
GML006801_mRNA1	748
GML006901_mRNA1	310
GML007001_mRNA1	127
GML007101_mRNA1	489
GML007201_mRNA1	63
GML007301_mRNA1	518
GML007401_mRNA1	589
GML007501_mRNA1	441
GML007601_mRNA1	339
GML007701_mRNA1	823
GML007801_mRNA1	921
GML007901_mRNA1	1018
GML008001_mRNA1	125
GML008101_mRNA1	299
GML008201_mRNA1	303
GML008300_mRNA1	549
GML008401_mRNA1	170
GML008501_mRNA1	741
GML008602_mRNA1	361
GML008701_mRNA1	325
GML008801_mRNA1	94
GML008901_mRNA1	427
GML009001_mRNA1	857
GML009101_mRNA1	93
GML009201_mRNA1	1199
GML009301_mRNA1	372
GML009401_mRNA1	529
GML009501_mRNA1	93
GML009601_mRNA1	439
GML009701_mRNA1	145
GML009801_mRNA1	75
GML009901_mRNA1	38
GML010001_mRNA1	257
GML010101_mRNA1	200
GML010201_mRNA1	554
GML010301_mRNA1	560
GML010401_mRNA1	509
GML010501_mRNA1	661
GML010601_mRNA1	420
GML010701_mRNA1	272
GML010801_mRNA1	299
GML010901_mRNA1	181
GML011001_mRNA1	624
GML011101_mRNA1	442
GML011201_mRNA1	408
GML011301_mRNA1	319
GML011401_mRNA1	602
