gene_id	pfam_ids	go_ids	bin_id
GML000001	PF08623.17,PF25782.3,PF28359.1	NA	100
GML000002	PF04749.23,PF04749.23,PF04749.23,PF04749.23	NA	100
GML000003	PF01379.26,PF03900.21	GO:0004418,GO:0033014	8
GML000004	PF01597.26	NA	100
GML000005	PF00025.28,PF00025.28,PF00071.29,PF00071.29,PF04670.19,PF04670.19,PF08477.20,PF08477.20	GO:0003924,GO:0005525	8
GML000006		NA	100
GML000007	PF13257.12,PF13257.12	NA	100
GML000008	PF00006.32,PF00006.32,PF02874.30,PF02874.30,PF16886.12,PF16886.12,PF22919.2,PF22919.2	GO:0005524,GO:0046034,GO:1902600	6
GML000009	PF00856.34,PF11764.14,PF11767.15	GO:0005515	100
GML000010		NA	100
GML000011	PF00261.26,PF00261.26,PF00261.26,PF00261.26	NA	100
GML000012	PF09805.15	NA	100
GML000013	PF20520.4,PF27676.2	NA	100
GML000014	PF03966.23	NA	100
GML000015	PF00445.24	GO:0003723,GO:0033897	1
GML000016	PF00160.27	GO:0000413,GO:0003755	8
GML000017	PF05739.27,PF05739.27,PF09177.16,PF09177.16	GO:0016020,GO:0048193	6
GML000018	PF07817.20	GO:0005643,GO:0016973	6
GML000019	PF00773.26,PF17849.8,PF17877.8	GO:0003723,GO:0004540	1
GML000020	PF13668.13	NA	100
GML000021	PF00208.28,PF00208.28,PF02812.24	GO:0006520,GO:0016491	8
GML000022	PF00732.26,PF05199.20	GO:0016614,GO:0050660	8
GML000023	PF00136.27,PF03104.26,PF14260.12	GO:0000166,GO:0003677	4
GML000024		NA	100
GML000025	PF04190.20	GO:0045048	100
GML000026		NA	100
GML000027	PF00179.32	NA	100
GML000028	PF00069.32,PF00069.32,PF00069.32,PF05773.28,PF07714.24,PF07714.24,PF07714.24,PF12745.13,PF13393.12	GO:0004672,GO:0005515,GO:0005524,GO:0006468	3
GML000029		NA	100
GML000030		NA	100
GML000031	PF12246.14,PF12247.14	NA	100
GML000032		NA	100
GML000033		NA	100
GML000034	PF01926.30,PF01926.30,PF10396.15,PF10396.15,PF12631.13,PF12631.13	GO:0005525	100
GML000035	PF01778.23,PF04874.20	NA	100
GML000036	PF14475.12	NA	100
GML000037	PF00566.26,PF00566.26,PF00566.26,PF12068.15,PF12068.15,PF12068.15,PF23436.2,PF23436.2,PF23436.2	NA	100
GML000038	PF03200.23,PF03200.23,PF16923.12,PF16923.12,PF22422.3,PF22422.3	NA	100
GML000039		NA	100
GML000040	PF09597.19	NA	100
GML000041	PF00097.32,PF00176.30,PF00271.38,PF13445.13,PF13639.13,PF13920.13,PF13923.13,PF26021.1	GO:0005524,GO:0046872	100
GML000042		NA	100
GML000043	PF00646.39,PF07393.18,PF12937.13	GO:0005515	100
GML000044	PF00069.32,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
GML000045	PF10277.16	NA	100
GML000046	PF12757.13	NA	100
