gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BJ212DRAFT_1256923	rna-XM_041329820.1		None	None
gene-BJ212DRAFT_1473938	rna-XM_041339022.1		None	None
gene-BJ212DRAFT_1257706	rna-XM_041329880.1	PF18758.8	Partial	None
gene-BJ212DRAFT_1307712	rna-XM_041333858.1	PF00004.36,PF00004.36,PF23315.2	Complete	None
gene-BJ212DRAFT_1307715	rna-XM_041333859.1	PF04410.21	Partial	None
gene-BJ212DRAFT_1307722	rna-XM_041333860.1		None	None
gene-BJ212DRAFT_1442987	rna-XM_041337759.1	PF00270.36,PF00271.38,PF07717.23,PF21010.3	Complete	None
gene-BJ212DRAFT_280	rna-XM_041342811.1	PF07956.17	Partial	None
gene-BJ212DRAFT_291	rna-XM_041342842.1		None	None
gene-BJ212DRAFT_1307766	rna-XM_041333861.1	PF00172.24,PF04082.24	Partial	None
gene-BJ212DRAFT_1451360	rna-XM_041338828.1		None	None
gene-BJ212DRAFT_1420298	rna-XM_041337626.1	PF00781.30	Partial	None
gene-BJ212DRAFT_1307791	rna-XM_041333862.1	PF00795.28	Partial	None
gene-BJ212DRAFT_1307798	rna-XM_041333863.1	PF00226.37,PF00684.26,PF01556.24	Complete	None
gene-BJ212DRAFT_1307803	rna-XM_041333864.1	PF10209.15	Partial	None
gene-BJ212DRAFT_1257766	rna-XM_041329890.1	PF08318.19,PF20662.4,PF20663.4	Complete	None
gene-BJ212DRAFT_939	rna-XM_041344394.1		None	None
gene-BJ212DRAFT_1258211	rna-XM_041329924.1		None	None
gene-BJ212DRAFT_1442996	rna-XM_041337760.1	PF03357.27	Partial	None
gene-BJ212DRAFT_1442997	rna-XM_041337761.1	PF00394.29,PF07732.22	Partial	None
gene-BJ212DRAFT_1307846	rna-XM_041333865.1	PF01428.24,PF01428.24	Complete	None
gene-BJ212DRAFT_1473959	rna-XM_041339023.1	PF00063.28,PF00612.34,PF00612.34,PF01843.26	Complete	None
gene-BJ212DRAFT_1307858	rna-XM_041333866.1	PF04632.19,PF06081.18,PF10334.17,PF13515.13	Complete	None
gene-BJ212DRAFT_1473961	rna-XM_041339024.1		None	None
gene-BJ212DRAFT_1491205	rna-XM_041341491.1	PF02181.29,PF06367.23,PF06371.20	Complete	None
gene-BJ212DRAFT_1258155	rna-XM_041329916.1	PF01161.27	Partial	None
gene-BJ212DRAFT_1307896	rna-XM_041333867.1	PF00076.29,PF01585.29	Complete	None
gene-BJ212DRAFT_1258016	rna-XM_041329908.1		None	None
gene-BJ212DRAFT_1443004	rna-XM_041337762.1	PF03232.20	Partial	None
gene-BJ212DRAFT_1307931	rna-XM_041333868.1		None	None
gene-BJ212DRAFT_t13	gene-BJ212DRAFT_t13		None	None
gene-BJ212DRAFT_1983	rna-XM_041342614.1	PF02900.24	Partial	None
gene-BJ212DRAFT_1307938	rna-XM_041333869.1		None	None
gene-BJ212DRAFT_1443006	rna-XM_041337763.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00646.39,PF12937.13	Complete	None
gene-BJ212DRAFT_1256508	rna-XM_041329795.1	PF00069.32,PF07714.24	Partial	None
gene-BJ212DRAFT_1294197	rna-XM_041332191.1		None	None
gene-BJ212DRAFT_1307970	rna-XM_041333870.1		None	None
gene-BJ212DRAFT_2555	rna-XM_041342758.1		None	None
gene-BJ212DRAFT_1307981	rna-XM_041333871.1	PF00753.34	Partial	None
gene-BJ212DRAFT_1473973	rna-XM_041339025.1		None	None
gene-BJ212DRAFT_1473974	rna-XM_041339026.1	PF00070.34,PF00890.31,PF01134.29,PF02852.29,PF07992.21,PF12831.14,PF13450.13,PF13738.13	Complete	None
gene-BJ212DRAFT_1443010	rna-XM_041337764.1	PF00067.28,PF00067.28	Partial	None
gene-BJ212DRAFT_1308005	rna-XM_041333872.1	PF01204.25,PF03200.23,PF16923.12,PF22422.3	Partial	None
gene-BJ212DRAFT_1308015	rna-XM_041333873.1	PF01145.32	Partial	None
gene-BJ212DRAFT_1308020	rna-XM_041333874.1	PF02991.23,PF04110.20	Partial	None
gene-BJ212DRAFT_2924	rna-XM_041342844.1		None	None
gene-BJ212DRAFT_1308027	rna-XM_041333875.1	PF08423.18	Partial	None
gene-BJ212DRAFT_1308029	rna-XM_041333876.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-BJ212DRAFT_1308035	rna-XM_041333877.1		None	None
gene-BJ212DRAFT_1308037	rna-XM_041333878.1		None	None
gene-BJ212DRAFT_3422	rna-XM_041342957.1	PF09742.15,PF12722.13	Partial	None
gene-BJ212DRAFT_1256886	rna-XM_041329818.1	PF04042.22,PF04042.22,PF18018.8	Partial	None
gene-BJ212DRAFT_1308067	rna-XM_041333879.1	PF00266.26,PF00282.26	Partial	None
gene-BJ212DRAFT_3867	rna-XM_041343069.1	PF03169.21	Partial	None
gene-BJ212DRAFT_1443020	rna-XM_041337765.1		None	None
gene-BJ212DRAFT_3650	rna-XM_041343018.1	PF00456.27,PF02779.30,PF02780.26,PF22613.2	Complete	None
gene-BJ212DRAFT_1308082	rna-XM_041333880.1	PF02271.22	Partial	None
gene-BJ212DRAFT_1308086	rna-XM_041333881.1	PF00334.25	Partial	None
gene-BJ212DRAFT_1308088	rna-XM_041333882.1	PF10373.16,PF13638.13	Complete	None
gene-BJ212DRAFT_1565134	rna-XM_041341947.1	PF00106.32,PF13561.13	Partial	None
gene-BJ212DRAFT_1256463	rna-XM_041329790.1		None	None
gene-BJ212DRAFT_1308106	rna-XM_041333883.1	PF00106.32,PF08659.17,PF13561.13,PF23441.1	Partial	None
gene-BJ212DRAFT_1473993	rna-XM_041339027.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-BJ212DRAFT_1473994	rna-XM_041339028.1	PF00916.27,PF01740.27	Complete	None
gene-BJ212DRAFT_4202	rna-XM_041343156.1	PF01709.27,PF20772.3	Partial	None
gene-BJ212DRAFT_1257484	rna-XM_041329859.1	PF01936.25	Partial	None
gene-BJ212DRAFT_1491415	rna-XM_041341492.1	PF08241.19,PF13489.13,PF13649.13	Partial	None
gene-BJ212DRAFT_1258106	rna-XM_041329911.1	PF01936.25	Partial	None
gene-BJ212DRAFT_1253071	rna-XM_041329735.1		None	None
gene-BJ212DRAFT_4722	rna-XM_041343287.1	PF00169.36	Complete	None
gene-BJ212DRAFT_1257858	rna-XM_041329895.1		None	None
gene-BJ212DRAFT_1491423	rna-XM_041341493.1	PF00179.32	Partial	None
gene-BJ212DRAFT_1443034	rna-XM_041337766.1	PF00240.30,PF01805.27,PF01805.27,PF12230.14	Complete	None
gene-BJ212DRAFT_1294224	rna-XM_041332192.1	PF09784.15	Partial	None
gene-BJ212DRAFT_1257589	rna-XM_041329870.1	PF14617.13	Partial	None
gene-BJ212DRAFT_5386	rna-XM_041343438.1	PF00929.32	Partial	None
gene-BJ212DRAFT_1257263	rna-XM_041329842.1	PF26733.1	Complete	None
gene-BJ212DRAFT_1420419	rna-XM_041337627.1	PF03801.20	Partial	None
gene-BJ212DRAFT_1308214	rna-XM_041333884.1	PF04603.19	Partial	None
gene-BJ212DRAFT_1474007	rna-XM_041339029.1		None	None
gene-BJ212DRAFT_1308246	rna-XM_041333885.1		None	None
gene-BJ212DRAFT_1474009	rna-XM_041339030.1	PF00168.37,PF00397.33,PF00397.33,PF00397.33,PF00632.31	Complete	None
gene-BJ212DRAFT_1257957	rna-XM_041329904.1	PF03291.23,PF08241.19,PF08242.19,PF13489.13,PF13649.13,PF13847.13	Partial	None
gene-BJ212DRAFT_5539	rna-XM_041343492.1	PF01433.27,PF11838.15,PF17900.7	Complete	None
gene-BJ212DRAFT_1491535	rna-XM_041341494.1		None	None
gene-BJ212DRAFT_1308269	rna-XM_041333886.1		None	None
gene-BJ212DRAFT_1257644	rna-XM_041329873.1		None	None
gene-BJ212DRAFT_6069	rna-XM_041343642.1		None	None
gene-BJ212DRAFT_6101	rna-XM_041343650.1	PF01285.25	Partial	None
gene-BJ212DRAFT_1308305	rna-XM_041333887.1		None	None
gene-BJ212DRAFT_1308309	rna-XM_041333888.1	PF25539.2,PF25539.2	Partial	None
gene-BJ212DRAFT_1257295	rna-XM_041329844.1	PF01257.26	Partial	None
gene-BJ212DRAFT_6252	rna-XM_041343688.1	PF00248.28	Partial	None
gene-BJ212DRAFT_1443047	rna-XM_041337767.1	PF10193.15	Complete	None
gene-BJ212DRAFT_6355	rna-XM_041343711.1		None	None
gene-BJ212DRAFT_6332	rna-XM_041343708.1		None	None
gene-BJ212DRAFT_1257170	rna-XM_041329838.1		None	None
gene-BJ212DRAFT_1443049	rna-XM_041337768.1	PF10607.15,PF13445.13	Complete	None
gene-BJ212DRAFT_1308343	rna-XM_041333889.1		None	None
gene-BJ212DRAFT_1474021	rna-XM_041339031.1	PF00501.35	Partial	None
gene-BJ212DRAFT_6373	rna-XM_041343714.1	PF00538.26	Partial	None
gene-BJ212DRAFT_1258159	rna-XM_041329918.1	PF00538.26	Partial	None
gene-BJ212DRAFT_1583527	rna-XM_041342327.1		None	None
gene-BJ212DRAFT_1256309	rna-XM_041329779.1	PF20236.4	Partial	None
gene-BJ212DRAFT_6951	rna-XM_041343836.1		None	None
gene-BJ212DRAFT_1308406	rna-XM_041333890.1		None	None
gene-BJ212DRAFT_1249386	rna-XM_041329700.1		None	None
gene-BJ212DRAFT_1294249	rna-XM_041332193.1		None	None
gene-BJ212DRAFT_1216249	rna-XM_041329306.1		None	None
gene-BJ212DRAFT_1474030	rna-XM_041339032.1		None	None
gene-BJ212DRAFT_6970	rna-XM_041343843.1	PF20236.4	Partial	None
gene-BJ212DRAFT_1308437	rna-XM_041333891.1	PF20236.4	Partial	None
gene-BJ212DRAFT_1239570	rna-XM_041329575.1	PF20236.4	Partial	None
gene-BJ212DRAFT_1420472	rna-XM_041337628.1	PF01699.30,PF01699.30	Complete	None
gene-BJ212DRAFT_1256989	rna-XM_041329827.1		None	None
gene-BJ212DRAFT_1294254	rna-XM_041332194.1	PF00122.26,PF00689.27,PF00690.32,PF00702.33,PF08282.19,PF13246.13	Complete	None
gene-BJ212DRAFT_1308506	rna-XM_041333892.1		None	None
gene-BJ212DRAFT_1308513	rna-XM_041333893.1	PF01699.30,PF01699.30	Partial	None
gene-BJ212DRAFT_1256207	rna-XM_041329775.1	PF00025.28,PF00071.29,PF04670.19	Partial	None
gene-BJ212DRAFT_1474039	rna-XM_041339033.1	PF00885.25,PF00885.25	Partial	None
gene-BJ212DRAFT_1308551	rna-XM_041333894.1	PF05022.18	Complete	None
gene-BJ212DRAFT_1258126	rna-XM_041329913.1	PF01171.28	Partial	None
gene-BJ212DRAFT_1256779	rna-XM_041329813.1	PF00561.27,PF12146.16,PF12697.14	Partial	None
gene-BJ212DRAFT_7852	rna-XM_041344072.1	PF04146.22	Complete	None
gene-BJ212DRAFT_1474044	rna-XM_041339034.1	PF06792.18,PF23189.2	Partial	None
gene-BJ212DRAFT_1443063	rna-XM_041337769.1	PF09370.17	Partial	None
gene-BJ212DRAFT_1256204	rna-XM_041329774.1	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14,PF24951.4	Complete	None
gene-BJ212DRAFT_1474046	rna-XM_041339035.1	PF00225.30,PF00225.30,PF16796.12	Partial	None
gene-BJ212DRAFT_9068	rna-XM_041344315.1	PF00106.32,PF02719.22,PF08659.17,PF13561.13,PF23441.1	Partial	None
gene-BJ212DRAFT_1308616	rna-XM_041333895.1	PF00320.34,PF00989.32,PF08447.19	Complete	None
gene-BJ212DRAFT_1474049	rna-XM_041339036.1		None	None
gene-BJ212DRAFT_1256513	rna-XM_041329796.1	PF00400.39,PF00400.39,PF00400.39	Complete	None
gene-BJ212DRAFT_1256343	rna-XM_041329783.1	PF08656.16	Partial	None
gene-BJ212DRAFT_1308645	rna-XM_041333896.1		None	None
gene-BJ212DRAFT_1443071	rna-XM_041337770.1	PF06985.18	Complete	None
gene-BJ212DRAFT_1308691	rna-XM_041333897.1	PF00441.30,PF02770.25,PF02771.22,PF08028.17	Complete	None
gene-BJ212DRAFT_9901	rna-XM_041344523.1		None	None
gene-BJ212DRAFT_1257586	rna-XM_041329869.1	PF00491.27	Partial	None
gene-BJ212DRAFT_1257495	rna-XM_041329861.1	PF00155.28	Partial	None
gene-BJ212DRAFT_1257542	rna-XM_041329864.1	PF00098.29,PF04676.20,PF04677.21,PF13696.12,PF13696.12,PF13696.12	Complete	None
gene-BJ212DRAFT_1257422	rna-XM_041329851.1	PF00135.35,PF07859.20,PF20434.6	Partial	None
gene-BJ212DRAFT_1256158	rna-XM_041329770.1	PF00293.35,PF30669.1	Partial	None
gene-BJ212DRAFT_1443081	rna-XM_041337771.1	PF03031.25	Partial	None
gene-BJ212DRAFT_1308744	rna-XM_041333898.1		None	None
gene-BJ212DRAFT_1256515	rna-XM_041329797.1	PF10075.16	Partial	None
gene-BJ212DRAFT_1572408	rna-XM_041342072.1	PF07933.21	Partial	None
gene-BJ212DRAFT_1308781	rna-XM_041333899.1	PF00266.26,PF01041.24	Partial	None
gene-BJ212DRAFT_1443084	rna-XM_041337772.1	PF00076.29,PF00076.29	Partial	None
gene-BJ212DRAFT_1308805	rna-XM_041333900.1	PF01302.32,PF12799.14,PF14580.13	Complete	None
gene-BJ212DRAFT_1308819	rna-XM_041333901.1	PF00378.26,PF16113.11	Partial	None
gene-BJ212DRAFT_1294283	rna-XM_041332195.1	PF01231.24	Partial	None
gene-BJ212DRAFT_1474068	rna-XM_041339037.1	PF01336.32,PF02721.22,PF04057.19,PF08646.17,PF16900.12	Complete	None
gene-BJ212DRAFT_1474069	rna-XM_041339038.1		None	None
gene-BJ212DRAFT_1491806	rna-XM_041341495.1	PF01328.23	Partial	None
gene-BJ212DRAFT_1308881	rna-XM_041333902.1	PF00675.26,PF05193.27,PF05193.27,PF16187.11,PF22456.2	Complete	None
gene-BJ212DRAFT_11889	rna-XM_041329031.1	PF20684.4	Partial	None
gene-BJ212DRAFT_1443092	rna-XM_041337773.1	PF01111.25	Partial	None
gene-BJ212DRAFT_11969	rna-XM_041329034.1	PF00270.36,PF00271.38,PF02889.22,PF04851.22,PF23445.2	Complete	None
gene-BJ212DRAFT_1308909	rna-XM_041333903.1	PF11711.14	Partial	None
gene-BJ212DRAFT_1308910	rna-XM_041333904.1	PF02731.21	Partial	None
gene-BJ212DRAFT_1308929	rna-XM_041333905.1	PF00018.35,PF07653.24,PF14604.13	Complete	None
gene-BJ212DRAFT_1294295	rna-XM_041332196.1	PF12763.14	Complete	None
gene-BJ212DRAFT_11975	rna-XM_041329035.1	PF01910.23	Partial	None
gene-BJ212DRAFT_1257075	rna-XM_041329832.1	PF04109.22	Partial	None
gene-BJ212DRAFT_1308933	rna-XM_041333906.1	PF00682.26,PF08502.16,PF08502.16,PF22615.2	Complete	None
gene-BJ212DRAFT_1258107	rna-XM_041329912.1	PF00043.31,PF00749.28,PF03950.24,PF20974.3	Complete	None
gene-BJ212DRAFT_1443101	rna-XM_041337774.1		None	None
gene-BJ212DRAFT_12041	rna-XM_041329125.1	PF00069.32,PF07714.24	Partial	None
gene-BJ212DRAFT_1443103	rna-XM_041337775.1	PF00070.34,PF07992.21,PF13202.13,PF13833.13,PF13833.13,PF22366.2	Complete	None
gene-BJ212DRAFT_1451643	rna-XM_041338830.1	PF06807.20,PF16573.11,PF16575.12	Complete	None
gene-BJ212DRAFT_1443105	rna-XM_041337776.1	PF07690.22	Partial	None
gene-BJ212DRAFT_1308982	rna-XM_041333907.1	PF00004.36,PF03215.22	Complete	None
gene-BJ212DRAFT_1294304	rna-XM_041332197.1	PF12770.13	Complete	None
gene-BJ212DRAFT_1474090	rna-XM_041339039.1		None	None
gene-BJ212DRAFT_1294306	rna-XM_041332198.1		None	None
gene-BJ212DRAFT_1257252	rna-XM_041329840.1	PF00006.32,PF02874.30,PF22919.2	Complete	None
gene-BJ212DRAFT_t1	gene-BJ212DRAFT_t1		None	None
gene-BJ212DRAFT_1309007	rna-XM_041333908.1		None	None
gene-BJ212DRAFT_1309018	rna-XM_041333909.1		None	None
gene-BJ212DRAFT_1474095	rna-XM_041339040.1	PF00153.33	Complete	None
gene-BJ212DRAFT_1309042	rna-XM_041333910.1		None	None
gene-BJ212DRAFT_t2	gene-BJ212DRAFT_t2		None	None
gene-BJ212DRAFT_1309045	rna-XM_041333911.1	PF08643.17	Partial	None
gene-BJ212DRAFT_13966	rna-XM_041337217.1	PF07823.18,PF13563.13	Partial	None
gene-BJ212DRAFT_1443109	rna-XM_041337777.1		None	None
gene-BJ212DRAFT_1257405	rna-XM_041329850.1	PF04427.24	Partial	None
gene-BJ212DRAFT_1309052	rna-XM_041333912.1	PF00013.36,PF00013.36,PF00013.36,PF07650.24	Complete	None
gene-BJ212DRAFT_1443112	rna-XM_041337778.1	PF01248.32	Partial	None
gene-BJ212DRAFT_1309083	rna-XM_041333913.1	PF00962.29,PF19326.6	Partial	None
gene-BJ212DRAFT_14067	rna-XM_041337425.1		None	None
gene-BJ212DRAFT_14472	rna-XM_041338364.1		None	None
gene-BJ212DRAFT_1258238	rna-XM_041329925.1	PF00962.29	Partial	None
gene-BJ212DRAFT_1492004	rna-XM_041341496.1	PF00106.32,PF01370.28,PF08659.17,PF13561.13	Partial	None
gene-BJ212DRAFT_14751	rna-XM_041339197.1	PF01876.24	Partial	None
gene-BJ212DRAFT_1309127	rna-XM_041333914.1	PF00290.27,PF00291.32	Partial	None
gene-BJ212DRAFT_1474108	rna-XM_041339041.1	PF01008.24	Partial	None
gene-BJ212DRAFT_1443120	rna-XM_041337779.1	PF00009.34,PF00009.34,PF00679.31,PF03144.32,PF06421.18	Complete	None
gene-BJ212DRAFT_1257884	rna-XM_041329898.1	PF08315.18	Partial	None
gene-BJ212DRAFT_1451682	rna-XM_041338831.1	PF00156.34,PF13537.12	Complete	None
gene-BJ212DRAFT_1309153	rna-XM_041333915.1		None	None
gene-BJ212DRAFT_1309156	rna-XM_041333916.1	PF00438.26,PF02772.22,PF02773.22	Complete	None
gene-BJ212DRAFT_1309163	rna-XM_041333917.1	PF06602.20,PF21098.4	Partial	None
gene-BJ212DRAFT_1309166	rna-XM_041333918.1	PF03914.24,PF26702.1	Complete	None
gene-BJ212DRAFT_1256887	rna-XM_041329819.1	PF00085.27,PF13098.14	Partial	None
gene-BJ212DRAFT_1257665	rna-XM_041329875.1		None	None
