gene_id	pfam_ids	go_ids	bin_id
gene-K504DRAFT_445317		NA	100
gene-K504DRAFT_496225	PF20684.4	NA	100
gene-K504DRAFT_456533	PF00107.33,PF13602.13,PF16884.11	NA	100
gene-K504DRAFT_509159		NA	100
gene-K504DRAFT_394568		NA	100
gene-K504DRAFT_367104		NA	100
gene-K504DRAFT_496230	PF00704.35	GO:0005975	8
gene-K504DRAFT_528656	PF06985.18	NA	100
gene-K504DRAFT_336625	PF01263.27	GO:0005975,GO:0016853	8
gene-K504DRAFT_456536		NA	100
gene-K504DRAFT_367046	PF01753.25,PF20179.4	NA	100
gene-K504DRAFT_368135	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-K504DRAFT_420030	PF13664.12	NA	100
gene-K504DRAFT_367474	PF00657.29,PF13472.13	GO:0016788	8
gene-K504DRAFT_420031	PF20684.4	NA	100
gene-K504DRAFT_420035		NA	100
gene-K504DRAFT_509188		NA	100
gene-K504DRAFT_445330	PF00076.29	GO:0003723	4
gene-K504DRAFT_456541		NA	100
gene-K504DRAFT_456543	PF20233.4	NA	100
gene-K504DRAFT_486258		NA	100
gene-K504DRAFT_496246		NA	100
gene-K504DRAFT_486259		NA	100
gene-K504DRAFT_394598	PF00069.32	GO:0004672,GO:0005524,GO:0006468	3
gene-K504DRAFT_528668	PF00069.32,PF06985.18,PF07714.24	GO:0004672,GO:0005524,GO:0006468	3
gene-K504DRAFT_456549	PF00270.36,PF00271.38,PF04851.22	GO:0003676,GO:0003677,GO:0005524,GO:0016787	4
gene-K504DRAFT_528670	PF00651.38	GO:0005515	100
gene-K504DRAFT_456551	PF00199.25,PF06628.18	GO:0004096,GO:0020037	8
gene-K504DRAFT_367076	PF00628.36,PF20826.3	NA	100
gene-K504DRAFT_456554		NA	100
gene-K504DRAFT_512	PF01262.28,PF02233.23,PF05222.22,PF12769.13	NA	100
gene-K504DRAFT_394618	PF00072.31,PF00512.32,PF02518.32,PF26131.1	GO:0000155,GO:0000160,GO:0007165	3
gene-K504DRAFT_456558	PF00750.26,PF05746.22	GO:0004814,GO:0005524,GO:0006420	8
gene-K504DRAFT_456560	PF05686.19	NA	100
gene-K504DRAFT_456562		NA	100
gene-K504DRAFT_667		NA	100
gene-K504DRAFT_456563		NA	100
gene-K504DRAFT_420068		NA	100
gene-K504DRAFT_737	PF14273.12	NA	100
gene-K504DRAFT_477881	PF00004.36,PF22942.2	GO:0005524,GO:0016887	8
gene-K504DRAFT_445350		NA	100
gene-K504DRAFT_849		NA	100
gene-K504DRAFT_366926	PF00023.37,PF12796.14,PF13606.13	GO:0005515	100
gene-K504DRAFT_456567	PF00565.24,PF00565.24,PF00565.24,PF00567.31	NA	100
gene-K504DRAFT_1028		NA	100
gene-K504DRAFT_456568	PF00080.26	GO:0006801,GO:0046872	8
gene-K504DRAFT_456570	PF00923.26	GO:0005975	8
gene-K504DRAFT_456571	PF00106.32,PF13561.13	NA	100
gene-K504DRAFT_456572	PF10650.15	NA	100
gene-K504DRAFT_468895	PF00063.28,PF00063.28,PF02736.27,PF24319.3	GO:0003774,GO:0005524,GO:0016459	100
gene-K504DRAFT_367565	PF00172.24,PF04082.24	GO:0000981,GO:0003677,GO:0006351,GO:0006355,GO:0008270	3
gene-K504DRAFT_477890	PF00246.30,PF02244.22	GO:0004181,GO:0006508,GO:0008270	5
gene-K504DRAFT_394648	PF06090.19	GO:0005524,GO:0035299	3
gene-K504DRAFT_486284		NA	100
gene-K504DRAFT_445362		NA	100
gene-K504DRAFT_366667	PF26146.1	NA	100
gene-K504DRAFT_353630	PF00023.37,PF00023.37,PF05729.19,PF12796.14,PF13606.13,PF13637.13,PF13637.13,PF22939.3,PF24883.3	GO:0005515	100
gene-K504DRAFT_365545		NA	100
gene-K504DRAFT_367240	PF01910.23	NA	100
gene-K504DRAFT_365760	PF26545.1,PF28355.1	NA	100
gene-K504DRAFT_1402		NA	100
gene-K504DRAFT_1417		NA	100
gene-K504DRAFT_367956	PF00400.39,PF00400.39,PF00400.39,PF23798.2,PF23798.2	GO:0005515	100
gene-K504DRAFT_496286		NA	100
gene-K504DRAFT_366188	PF13086.13,PF13087.13,PF25396.2	GO:0004386	8
gene-K504DRAFT_456584		NA	100
gene-K504DRAFT_456585		NA	100
gene-K504DRAFT_456586	PF07946.20	GO:0005509,GO:0005783,GO:0032469	100
gene-K504DRAFT_496290	PF00704.35	GO:0005975	8
gene-K504DRAFT_496291		NA	100
gene-K504DRAFT_486294	PF00172.24	GO:0000981,GO:0006355,GO:0008270	3
gene-K504DRAFT_368394	PF01287.27,PF21485.4	GO:0003723,GO:0043022	4
gene-K504DRAFT_528707		NA	100
gene-K504DRAFT_1964	PF06108.19	NA	100
gene-K504DRAFT_496295		NA	100
gene-K504DRAFT_477904	PF01741.24	NA	100
gene-K504DRAFT_496297		NA	100
gene-K504DRAFT_456596		NA	100
gene-K504DRAFT_509350	PF29556.1	NA	100
gene-K504DRAFT_367605		NA	100
gene-K504DRAFT_486303	PF25484.2	NA	100
gene-K504DRAFT_445382	PF12051.15	NA	100
gene-K504DRAFT_t20		NA	100
gene-K504DRAFT_468915	PF16010.11	NA	100
gene-K504DRAFT_2111		NA	100
gene-K504DRAFT_340802	PF26118.1	NA	100
gene-K504DRAFT_2096		NA	100
gene-K504DRAFT_420150	PF00324.28,PF13520.13	GO:0016020,GO:0022857,GO:0055085	6
gene-K504DRAFT_365723	PF00857.27	NA	100
gene-K504DRAFT_445387	PF00808.30,PF02969.24,PF15511.13	NA	100
gene-K504DRAFT_456605	PF24854.2	NA	100
gene-K504DRAFT_t19		NA	100
gene-K504DRAFT_445389		NA	100
gene-K504DRAFT_420163	PF09362.16	NA	100
gene-K504DRAFT_353328		NA	100
gene-K504DRAFT_420166	PF01757.29	GO:0016747	8
gene-K504DRAFT_2376		NA	100
gene-K504DRAFT_394730		NA	100
