gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-PYCC9005_000001	gene-PYCC9005_000001	PF00270.36,PF00271.38,PF04851.22	Complete	None
gene-PYCC9005_000002	gene-PYCC9005_000002	PF00083.31,PF07690.22	Partial	None
gene-PYCC9005_000003	gene-PYCC9005_000003	PF20238.5	Partial	None
gene-PYCC9005_000004	gene-PYCC9005_000004	PF01794.26	Partial	None
gene-PYCC9005_000005	gene-PYCC9005_000005	PF00179.32,PF09288.17	Complete	None
gene-PYCC9005_000006	gene-PYCC9005_000006	PF02200.23	Partial	None
gene-PYCC9005_000007	gene-PYCC9005_000007		None	None
gene-PYCC9005_000008	gene-PYCC9005_000008	PF13805.12	Partial	None
gene-PYCC9005_000009	gene-PYCC9005_000009	PF06870.18	Partial	None
gene-PYCC9005_000010	gene-PYCC9005_000010	PF00400.39	Complete	None
gene-PYCC9005_000011	gene-PYCC9005_000011	PF05495.18	Complete	None
gene-PYCC9005_000012	gene-PYCC9005_000012		None	None
gene-PYCC9005_000013	gene-PYCC9005_000013	PF00004.36,PF16450.12,PF17862.8	Complete	None
gene-PYCC9005_000014	gene-PYCC9005_000014	PF00009.34,PF00025.28,PF00071.29,PF01926.30,PF04670.19,PF08477.20	Partial	None
gene-PYCC9005_000015	gene-PYCC9005_000015	PF12231.14	Partial	None
gene-PYCC9005_000016	gene-PYCC9005_000016		None	None
gene-PYCC9005_000017	gene-PYCC9005_000017	PF02291.22	Partial	None
gene-PYCC9005_000018	gene-PYCC9005_000018		None	None
gene-PYCC9005_000019	gene-PYCC9005_000019		None	None
gene-PYCC9005_000020	gene-PYCC9005_000020	PF00098.29,PF00098.29,PF00098.29,PF00098.29	Complete	None
gene-PYCC9005_000021	gene-PYCC9005_000021	PF10544.16,PF13455.14	Complete	None
gene-PYCC9005_000022	gene-PYCC9005_000022	PF10342.16	Partial	None
gene-PYCC9005_000023	gene-PYCC9005_000023	PF01323.27	Partial	None
gene-PYCC9005_000024	gene-PYCC9005_000024	PF07690.22	Partial	None
gene-PYCC9005_000025	gene-PYCC9005_000025		None	None
gene-PYCC9005_000026	gene-PYCC9005_000026	PF01168.27,PF14031.14	Complete	None
gene-PYCC9005_000027	gene-PYCC9005_000027	PF00069.32,PF00169.36,PF00786.34,PF03109.23,PF07714.24	Complete	None
gene-PYCC9005_000028	gene-PYCC9005_000028		None	None
gene-PYCC9005_000029	gene-PYCC9005_000029	PF09335.17	Partial	None
gene-PYCC9005_000030	gene-PYCC9005_000030	PF00850.25	Partial	None
gene-PYCC9005_000031	gene-PYCC9005_000031	PF00005.34,PF00005.34,PF00664.29,PF00664.29,PF24357.2	Complete	None
gene-PYCC9005_000032	gene-PYCC9005_000032	PF00010.32	Complete	None
gene-PYCC9005_000033	gene-PYCC9005_000033		None	None
gene-PYCC9005_000034	gene-PYCC9005_000034	PF20945.3	Partial	None
gene-PYCC9005_000035	gene-PYCC9005_000035	PF01184.25	Partial	None
gene-PYCC9005_000036	gene-PYCC9005_000036	PF00149.34,PF16891.11	Complete	None
gene-PYCC9005_000037	gene-PYCC9005_000037		None	None
gene-PYCC9005_000038	gene-PYCC9005_000038	PF10165.15	Partial	None
gene-PYCC9005_000039	gene-PYCC9005_000039	PF00096.33,PF00096.33	Complete	None
gene-PYCC9005_000040	gene-PYCC9005_000040		None	None
gene-PYCC9005_000041	gene-PYCC9005_000041		None	None
gene-PYCC9005_000042	gene-PYCC9005_000042	PF01738.25	Partial	None
gene-PYCC9005_000043	gene-PYCC9005_000043	PF11001.15	Partial	None
gene-PYCC9005_000044	gene-PYCC9005_000044	PF01263.27	Partial	None
gene-PYCC9005_000045	gene-PYCC9005_000045	PF00069.32,PF07714.24	Partial	None
gene-PYCC9005_000046	gene-PYCC9005_000046	PF00400.39	Complete	None
gene-PYCC9005_000047	gene-PYCC9005_000047	PF01583.27,PF13671.13	Partial	None
gene-PYCC9005_000048	gene-PYCC9005_000048		None	None
gene-PYCC9005_000049	gene-PYCC9005_000049	PF07093.17	Partial	None
gene-PYCC9005_000050	gene-PYCC9005_000050	PF08982.18	Partial	None
gene-PYCC9005_000051	gene-PYCC9005_000051	PF01875.24	Partial	None
gene-PYCC9005_000052	gene-PYCC9005_000052		None	None
gene-PYCC9005_000053	gene-PYCC9005_000053	PF00118.30,PF01363.28,PF01504.25,PF01504.25	Complete	None
gene-PYCC9005_000054	gene-PYCC9005_000054	PF00583.32	Partial	None
gene-PYCC9005_000055	gene-PYCC9005_000055		None	None
gene-PYCC9005_000056	gene-PYCC9005_000056		None	None
gene-PYCC9005_000057	gene-PYCC9005_000057		None	None
gene-PYCC9005_000058	gene-PYCC9005_000058	PF01926.30,PF02421.25	Complete	None
gene-PYCC9005_000059	gene-PYCC9005_000059	PF04180.20	Partial	None
