protein_id	length
GML000001_mRNA1	123
GML000101_mRNA1	650
GML000201_mRNA1	439
GML000301_mRNA1	180
GML000401_mRNA1	675
GML000501_mRNA1	382
GML000601_mRNA1	2350
GML000701_mRNA1	554
GML000801_mRNA1	280
GML000901_mRNA1	692
GML001001_mRNA1	467
GML001101_mRNA1	213
GML001201_mRNA1	464
GML001301_mRNA1	450
GML001401_mRNA1	170
GML001501_mRNA1	544
GML001601_mRNA1	556
GML001701_mRNA1	299
GML001801_mRNA1	559
GML001901_mRNA1	72
GML002001_mRNA1	604
GML002101_mRNA1	289
GML002201_mRNA1	114
GML002301_mRNA1	793
GML002401_mRNA1	231
GML002501_mRNA1	259
GML002601_mRNA1	595
GML002701_mRNA1	113
GML002801_mRNA1	710
GML002901_mRNA1	207
GML003001_mRNA1	510
GML003101_mRNA1	476
GML003201_mRNA1	203
GML003301_mRNA1	125
GML003401_mRNA1	256
GML003501_mRNA1	119
GML003601_mRNA1	604
GML003701_mRNA1	99
GML003801_mRNA1	295
GML003901_mRNA1	329
GML004001_mRNA1	908
GML004101_mRNA1	296
GML004201_mRNA1	711
GML004301_mRNA1	473
GML004401_mRNA1	469
GML004501_mRNA1	151
GML004601_mRNA1	897
GML004701_mRNA1	260
GML004801_mRNA1	830
GML004901_mRNA1	146
GML005001_mRNA1	1073
GML005101_mRNA1	1139
GML005201_mRNA1	225
GML005301_mRNA1	234
GML005401_mRNA1	282
GML005501_mRNA1	201
GML005601_mRNA1	395
GML005701_mRNA1	191
GML005801_mRNA1	304
GML005901_mRNA1	133
GML006001_mRNA1	1584
GML006101_mRNA1	420
GML006201_mRNA1	323
GML006301_mRNA1	300
GML006401_mRNA1	437
GML006501_mRNA1	342
GML006601_mRNA1	360
GML006701_mRNA1	178
GML006801_mRNA1	199
GML006901_mRNA1	350
GML007001_mRNA1	241
GML007101_mRNA1	71
GML007201_mRNA1	684
GML007301_mRNA1	366
GML007401_mRNA1	448
GML007501_mRNA1	335
GML007601_mRNA1	203
GML007701_mRNA1	624
GML007801_mRNA1	884
GML007901_mRNA1	275
GML008001_mRNA1	738
GML008101_mRNA1	334
GML008201_mRNA1	225
GML008301_mRNA1	777
GML008401_mRNA1	462
GML008501_mRNA1	331
GML008601_mRNA1	37
GML008701_mRNA1	1651
GML008801_mRNA1	582
GML008901_mRNA1	665
GML009001_mRNA1	562
GML009101_mRNA1	574
GML009201_mRNA1	334
GML009301_mRNA1	375
GML009401_mRNA1	751
GML009501_mRNA1	146
GML009601_mRNA1	313
GML009701_mRNA1	107
GML009801_mRNA1	384
GML009901_mRNA1	1668
GML010001_mRNA1	381
GML010101_mRNA1	488
GML010201_mRNA1	730
GML010301_mRNA1	380
GML010401_mRNA1	790
GML010501_mRNA1	468
GML010601_mRNA1	133
GML010701_mRNA1	163
GML010801_mRNA1	369
GML010901_mRNA1	170
GML011001_mRNA1	614
GML011101_mRNA1	179
GML011201_mRNA1	537
GML011301_mRNA1	101
GML011401_mRNA1	345
