protein_id	length
GML000001_mRNA1	443
GML000101_mRNA1	324
GML000201_mRNA1	653
GML000301_mRNA1	449
GML000401_mRNA1	705
GML000501_mRNA1	175
GML000601_mRNA1	285
GML000701_mRNA1	328
GML000801_mRNA1	504
GML000901_mRNA1	429
GML001001_mRNA1	555
GML001101_mRNA1	518
GML001201_mRNA1	610
GML001301_mRNA1	234
GML001401_mRNA1	1502
GML001501_mRNA1	480
GML001601_mRNA1	68
GML001701_mRNA1	283
GML001801_mRNA1	416
GML001901_mRNA1	283
GML002001_mRNA1	641
GML002101_mRNA1	528
GML002201_mRNA1	489
GML002301_mRNA1	168
GML002401_mRNA1	1314
GML002501_mRNA1	440
GML002601_mRNA1	147
GML002701_mRNA1	235
GML002801_mRNA1	232
GML002901_mRNA1	232
GML003001_mRNA1	112
GML003101_mRNA1	248
GML003201_mRNA1	358
GML003301_mRNA1	122
GML003401_mRNA1	359
GML003501_mRNA1	415
GML003601_mRNA1	182
GML003701_mRNA1	1212
GML003801_mRNA1	369
GML003901_mRNA1	1221
GML004001_mRNA1	1076
GML004101_mRNA1	324
GML004201_mRNA1	1586
GML004301_mRNA1	986
GML004401_mRNA1	863
GML004501_mRNA1	537
GML004601_mRNA1	417
GML004701_mRNA1	400
GML004801_mRNA1	110
GML004901_mRNA1	218
GML005001_mRNA1	111
GML005101_mRNA1	173
GML005201_mRNA1	949
GML005301_mRNA1	742
GML005401_mRNA1	486
GML005501_mRNA1	301
GML005601_mRNA1	453
GML005701_mRNA1	155
GML005801_mRNA1	874
GML005901_mRNA1	66
GML006001_mRNA1	603
GML006101_mRNA1	507
GML006201_mRNA1	1198
GML006301_mRNA1	301
GML006401_mRNA1	298
GML006501_mRNA1	524
GML006601_mRNA1	205
GML006701_mRNA1	191
GML006801_mRNA1	520
GML006901_mRNA1	776
GML007001_mRNA1	925
GML007101_mRNA1	352
GML007201_mRNA1	150
GML007301_mRNA1	438
GML007401_mRNA1	1202
GML007501_mRNA1	197
GML007601_mRNA1	66
GML007702_mRNA1	369
GML007801_mRNA1	596
GML007901_mRNA1	690
GML008001_mRNA1	863
GML008101_mRNA1	169
GML008201_mRNA1	532
GML008301_mRNA1	524
GML008401_mRNA1	1169
GML008501_mRNA1	1243
GML008601_mRNA1	89
GML008701_mRNA1	696
