gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BDV97DRAFT_364905	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA364905	PF10334.17	Partial	None
gene-BDV97DRAFT_394068	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA394068	PF01055.33,PF21365.4	Complete	None
gene-BDV97DRAFT_7	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA7		None	None
gene-BDV97DRAFT_394069	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA394069		None	None
gene-BDV97DRAFT_286906	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA286906	PF00069.32,PF07714.24,PF14531.13	Complete	None
gene-BDV97DRAFT_288115	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA288115	PF00909.27	Partial	None
gene-BDV97DRAFT_341042	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA341042	PF00076.29	Complete	None
gene-BDV97DRAFT_286581	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA286581	PF00083.31,PF07690.22	Partial	None
gene-BDV97DRAFT_341045	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA341045		None	None
gene-BDV97DRAFT_341047	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA341047	PF00128.32	Partial	None
gene-BDV97DRAFT_374009	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA374009	PF00172.24	Partial	None
gene-BDV97DRAFT_138	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA138		None	None
gene-BDV97DRAFT_364914	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA364914		None	None
gene-BDV97DRAFT_374010	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA374010	PF00005.34,PF01061.30,PF19055.7	Partial	None
gene-BDV97DRAFT_394079	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA394079	PF03663.21	Partial	None
gene-BDV97DRAFT_287897	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA287897		None	None
gene-BDV97DRAFT_341	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA341		None	None
gene-BDV97DRAFT_159	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA159	PF01230.30	Partial	None
gene-BDV97DRAFT_364919	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA364919	PF20684.4	Partial	None
gene-BDV97DRAFT_364920	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA364920		None	None
gene-BDV97DRAFT_287814	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA287814	PF00172.24,PF11951.14	Partial	None
gene-BDV97DRAFT_373	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA373	PF00400.39,PF00400.39,PF00400.39,PF00400.39,PF12894.14	Complete	None
gene-BDV97DRAFT_392	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA392		None	None
gene-BDV97DRAFT_412	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA412		None	None
gene-BDV97DRAFT_286625	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA286625	PF03151.23	Partial	None
gene-BDV97DRAFT_394087	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA394087	PF01593.31,PF13450.13	Partial	None
gene-BDV97DRAFT_341105	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA341105	PF00004.36,PF00004.36,PF02933.24,PF17862.8	Complete	None
gene-BDV97DRAFT_394089	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA394089		None	None
gene-BDV97DRAFT_265830	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA265830	PF11790.15	Partial	None
gene-BDV97DRAFT_323610	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA323610	PF07690.22	Partial	None
gene-BDV97DRAFT_341126	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA341126		None	None
gene-BDV97DRAFT_374020	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA374020	PF11913.14	Partial	None
gene-BDV97DRAFT_341131	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA341131		None	None
gene-BDV97DRAFT_394094	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA394094		None	None
gene-BDV97DRAFT_364935	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA364935	PF20684.4	Partial	None
gene-BDV97DRAFT_394096	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA394096	PF01425.27	Partial	None
gene-BDV97DRAFT_703	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA703		None	None
gene-BDV97DRAFT_364938	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA364938	PF02269.23	Partial	None
gene-BDV97DRAFT_417590	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA417590	PF00590.26	Partial	None
gene-BDV97DRAFT_287201	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA287201	PF13515.13	Complete	None
gene-BDV97DRAFT_341142	rna-gnl|WGS:JAADKB|BDV97DRAFT_mRNA341142		None	None
