gene_id	transcript_id	pfam_ids	domain_annotation	domain_changes
gene-BJV82DRAFT_584636	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA584636		None	None
gene-BJV82DRAFT_503975	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA503975	PF00224.28,PF02887.22	Complete	None
gene-BJV82DRAFT_661897	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA661897	PF03028.22,PF07728.21,PF07728.21,PF08385.18,PF08393.19,PF12774.14,PF12775.14,PF12777.12,PF12780.14,PF12781.14,PF17852.7,PF17857.7,PF18198.8,PF18199.7,PF22597.3	Complete	None
gene-BJV82DRAFT_503939	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA503939	PF00782.26	Partial	None
gene-BJV82DRAFT_101	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA101	PF07690.22	Partial	None
gene-BJV82DRAFT_584652	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA584652	PF00173.34	Partial	None
gene-BJV82DRAFT_584654	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA584654		None	None
gene-BJV82DRAFT_504232	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA504232		None	None
gene-BJV82DRAFT_641741	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA641741	PF04502.19,PF04502.19	Partial	None
gene-BJV82DRAFT_306	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA306	PF10104.15	Partial	None
gene-BJV82DRAFT_584686	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA584686	PF00326.28,PF00930.28	Complete	None
gene-BJV82DRAFT_584691	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA584691		None	None
gene-BJV82DRAFT_584692	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA584692		None	None
gene-BJV82DRAFT_661905	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA661905		None	None
gene-BJV82DRAFT_584695	rna-gnl|WGS:JALLLT|BJV82DRAFT_mRNA584695		None	None
