protein_id	length
GML000001_mRNA1	394
GML000101_mRNA1	1254
GML000201_mRNA1	62
GML000301_mRNA1	165
GML000401_mRNA1	390
GML000501_mRNA1	920
GML000601_mRNA1	90
GML000701_mRNA1	1276
GML000801_mRNA1	671
GML000901_mRNA1	135
GML001001_mRNA1	453
GML001101_mRNA1	94
GML001201_mRNA1	248
GML001301_mRNA1	432
GML001401_mRNA1	241
GML001501_mRNA1	329
GML001601_mRNA1	172
GML001701_mRNA1	1106
GML001801_mRNA1	382
GML001901_mRNA1	873
GML002001_mRNA1	356
GML002101_mRNA1	572
GML002201_mRNA1	250
GML002301_mRNA1	1447
GML002401_mRNA1	564
GML002501_mRNA1	563
GML002601_mRNA1	169
GML002701_mRNA1	276
GML002801_mRNA1	937
GML002901_mRNA1	1441
GML003001_mRNA1	694
GML003101_mRNA1	219
GML003201_mRNA1	309
GML003301_mRNA1	108
GML003401_mRNA1	416
GML003501_mRNA1	435
GML003601_mRNA1	177
GML003701_mRNA1	268
GML003801_mRNA1	62
GML003901_mRNA1	469
GML004001_mRNA1	1936
GML004101_mRNA1	382
GML004202_mRNA1	596
GML004301_mRNA1	1604
GML004401_mRNA1	1254
GML004501_mRNA1	239
GML004601_mRNA1	244
GML004701_mRNA1	385
GML004801_mRNA1	446
GML004901_mRNA1	332
GML005001_mRNA1	110
GML005101_mRNA1	49
GML005201_mRNA1	580
GML005301_mRNA1	424
GML005401_mRNA1	255
GML005501_mRNA1	152
GML005601_mRNA1	383
GML005701_mRNA1	332
GML005801_mRNA1	559
GML005901_mRNA1	773
GML006001_mRNA1	342
GML006101_mRNA1	149
GML006201_mRNA1	362
GML006301_mRNA1	586
GML006401_mRNA1	313
GML006501_mRNA1	242
GML006601_mRNA1	157
GML006701_mRNA1	466
GML006801_mRNA1	421
GML006901_mRNA1	532
GML007001_mRNA1	217
GML007101_mRNA1	108
GML007201_mRNA1	496
GML007301_mRNA1	559
GML007401_mRNA1	1246
GML007501_mRNA1	694
GML007601_mRNA1	163
GML007701_mRNA1	251
GML007801_mRNA1	641
GML007901_mRNA1	656
GML008001_mRNA1	403
GML008101_mRNA1	1184
GML008201_mRNA1	556
GML008301_mRNA1	275
GML008401_mRNA1	455
GML008501_mRNA1	232
GML008601_mRNA1	793
GML008701_mRNA1	612
GML008801_mRNA1	237
GML008901_mRNA1	423
GML009001_mRNA1	141
GML009101_mRNA1	492
GML009201_mRNA1	102
GML009301_mRNA1	75
GML009401_mRNA1	65
GML009501_mRNA1	653
GML009601_mRNA1	442
GML009701_mRNA1	546
GML009801_mRNA1	154
GML009901_mRNA1	91
GML010001_mRNA1	190
GML010101_mRNA1	884
GML010201_mRNA1	734
GML010301_mRNA1	616
GML010401_mRNA1	601
GML010501_mRNA1	417
GML010601_mRNA1	152
GML010701_mRNA1	778
GML010801_mRNA1	723
GML010901_mRNA1	112
GML011001_mRNA1	1086
GML011101_mRNA1	571
GML011201_mRNA1	394
GML011301_mRNA1	913
GML011401_mRNA1	640
GML011501_mRNA1	85
GML011601_mRNA1	509
GML011700_mRNA1	747
GML011801_mRNA1	300
GML011901_mRNA1	732
GML012001_mRNA1	104
GML012101_mRNA1	540
GML012201_mRNA1	310
GML012301_mRNA1	321
GML012401_mRNA1	564
GML012501_mRNA1	349
GML012601_mRNA1	589
GML012701_mRNA1	468
GML012801_mRNA1	187
GML012901_mRNA1	524
GML013001_mRNA1	393
GML013101_mRNA1	433
GML013201_mRNA1	667
GML013301_mRNA1	419
GML013401_mRNA1	255
GML013501_mRNA1	149
GML013601_mRNA1	429
GML013701_mRNA1	389
GML013801_mRNA1	217
GML013901_mRNA1	531
GML014001_mRNA1	156
GML014101_mRNA1	342
GML014201_mRNA1	612
GML014301_mRNA1	121
GML014401_mRNA1	1165
GML014501_mRNA1	305
GML014601_mRNA1	355
GML014701_mRNA1	459
GML014801_mRNA1	482
GML014901_mRNA1	119
GML015001_mRNA1	238
GML015101_mRNA1	414
GML015201_mRNA1	487
GML015301_mRNA1	626
GML015401_mRNA1	1256
GML015501_mRNA1	1094
GML015601_mRNA1	192
GML015701_mRNA1	864
GML015801_mRNA1	444
GML015901_mRNA1	697
GML016001_mRNA1	133
GML016101_mRNA1	376
GML016201_mRNA1	276
GML016301_mRNA1	300
GML016401_mRNA1	622
GML016501_mRNA1	51
GML016601_mRNA1	668
GML016701_mRNA1	441
GML016801_mRNA1	1001
GML016901_mRNA1	255
GML017001_mRNA1	132
GML017101_mRNA1	810
GML017201_mRNA1	260
GML017301_mRNA1	643
GML017401_mRNA1	95
GML017501_mRNA1	128
GML017601_mRNA1	245
GML017701_mRNA1	1980
GML017801_mRNA1	40
GML017901_mRNA1	269
GML018001_mRNA1	330
GML018101_mRNA1	277
GML018202_mRNA1	175
GML018301_mRNA1	294
GML018401_mRNA1	159
GML018501_mRNA1	123
GML018601_mRNA1	443
GML018701_mRNA1	244
GML018801_mRNA1	546
GML018901_mRNA1	537
GML019001_mRNA1	491
GML019101_mRNA1	548
GML019201_mRNA1	419
GML019301_mRNA1	514
GML019401_mRNA1	176
GML019501_mRNA1	566
GML019601_mRNA1	544
GML019701_mRNA1	114
GML019801_mRNA1	13
GML019901_mRNA1	354
GML020001_mRNA1	175
GML020101_mRNA1	1283
GML020201_mRNA1	95
GML020301_mRNA1	519
GML020401_mRNA1	320
GML020501_mRNA1	280
